date,market_total,10_total,10_ratio,10_firms,15_total,15_ratio,15_firms,20_total,20_ratio,20_firms,25_total,25_ratio,25_firms,30_total,30_ratio,30_firms,35_total,35_ratio,35_firms,40_total,40_ratio,40_firms,45_total,45_ratio,45_firms,50_total,50_ratio,50_firms,55_total,55_ratio,55_firms
1928-07-31,6.811,6.7767,0.995,56,9.4197,1.383,107,7.3091,1.0731,126,10.6643,1.5657,120,6.2689,0.9204,83,,,6,,,18,,,13,,,14,7.7156,1.1328,23
1928-08-31,7.9506,8.4839,1.0671,56,10.043,1.2632,107,7.9654,1.0019,126,11.9193,1.4992,119,6.8716,0.8643,83,,,6,,,18,,,13,,,14,8.9386,1.1243,23
1928-09-29,8.2177,8.7023,1.059,56,10.2686,1.2496,107,8.1803,0.9955,126,12.2833,1.4947,118,6.8493,0.8335,83,,,6,,,18,,,13,,,14,9.1909,1.1184,23
1928-10-31,8.2525,8.8847,1.0766,56,10.2713,1.2446,107,8.1466,0.9872,126,12.3584,1.4975,118,6.8544,0.8306,83,,,6,,,18,,,13,,,14,9.222,1.1175,23
1928-11-30,8.1547,8.9445,1.0968,56,10.0626,1.234,107,7.956,0.9756,126,12.2044,1.4966,118,6.83,0.8375,83,,,6,,,17,,,13,,,14,9.2175,1.1303,23
1928-12-31,8.1688,9.0837,1.112,56,9.979,1.2216,107,7.8846,0.9652,126,12.2819,1.5035,118,6.8548,0.8391,83,,,6,,,17,,,13,,,14,9.1881,1.1248,23
1929-01-31,8.3194,9.457,1.1367,56,10.1252,1.217,107,7.9994,0.9615,126,12.2487,1.4723,118,6.8954,0.8288,82,,,6,,,17,,,13,,,14,9.3999,1.1299,23
1929-02-28,9.2828,11.0462,1.19,56,10.8737,1.1714,107,8.7161,0.9389,126,13.459,1.4499,117,7.4287,0.8003,81,,,5,,,16,,,13,,,14,10.23,1.102,23
1929-03-28,9.3907,11.1686,1.1893,56,10.966,1.1678,107,8.9115,0.949,126,13.6264,1.451,117,7.4021,0.7882,81,,,5,,,16,,,13,,,14,10.3374,1.1008,23
1929-04-30,9.762,11.364,1.1641,56,11.5819,1.1864,107,9.2898,0.9516,125,13.6231,1.3955,117,7.8235,0.8014,81,,,5,,,16,,,13,,,14,10.9068,1.1173,23
