date,market_total,20_total,20_ratio,20_resid,25_total,25_ratio,25_resid,30_total,30_ratio,30_resid,40_total,40_ratio,40_resid,55_total,55_ratio,55_resid
1991-01-31,11.2402,,,,,,,,,,14.3073,1.2729,6.29,8.3358,0.7416,4.4385
1991-02-28,11.3493,,,,,,,,,,14.685,1.2939,6.5514,8.4509,0.7446,4.5268
1991-03-28,11.3256,,,,,,,,,,14.7628,1.3035,6.6909,8.3876,0.7406,4.5028
1991-04-30,11.348,,,,,,,,,,15.042,1.3255,6.8346,8.2481,0.7268,4.5697
1991-05-31,11.5074,,,,,,,,,,15.4496,1.3426,7.0659,8.3205,0.7231,4.6669
1991-06-28,11.5137,,,,,,,,,,15.6461,1.3589,7.126,8.3746,0.7274,4.7826
1991-07-31,11.6256,13.3036,1.1443,4.3771,14.8979,1.2815,4.2605,14.2601,1.2266,4.5271,15.7861,1.3579,7.2153,8.4322,0.7253,4.8011
1991-08-30,11.6712,13.2527,1.1355,4.449,14.7523,1.264,4.2852,13.9888,1.1986,4.5881,15.7605,1.3504,7.249,8.3595,0.7162,4.7155
1991-09-30,11.6693,13.1605,1.1278,4.399,14.7793,1.2665,4.266,13.7834,1.1812,4.554,15.7655,1.351,7.3251,8.3972,0.7196,4.7803
1991-10-31,11.4026,12.4509,1.0919,4.23,14.2016,1.2455,4.0979,13.2554,1.1625,4.5079,15.6639,1.3737,7.2234,8.1778,0.7172,4.744
1991-11-29,11.0089,11.9682,1.0871,4.1265,13.6768,1.2423,3.9466,12.4829,1.1339,4.3852,15.5472,1.4122,7.2866,7.844,0.7125,4.6071
1991-12-31,10.7374,11.5399,1.0747,3.9722,13.2827,1.2371,3.8513,12.1901,1.1353,4.2468,14.8359,1.3817,6.9982,7.7521,0.722,4.6118
1992-01-31,9.783,10.6311,1.0867,3.9116,12.2991,1.2572,3.793,11.1052,1.1352,4.1947,13.6492,1.3952,6.7122,7.3211,0.7484,4.4456
1992-02-28,10.167,10.7055,1.053,3.7421,12.8341,1.2623,3.769,11.4305,1.1243,4.2643,13.7713,1.3545,6.3772,7.5042,0.7381,4.4337
1992-03-31,10.1712,10.8151,1.0633,3.8245,12.9356,1.2718,3.8406,11.3433,1.1152,4.2939,13.5778,1.3349,6.1383,7.5417,0.7415,4.5294
1992-04-30,9.8486,10.6151,1.0778,3.907,12.6578,1.2852,3.862,11.1833,1.1355,4.6864,13.3155,1.352,6.0433,7.5406,0.7656,4.7662
1992-05-29,9.6811,10.405,1.0748,3.9302,12.4356,1.2845,3.9135,11.0513,1.1415,4.5693,12.9416,1.3368,5.8758,7.4429,0.7688,4.7782
1992-06-30,9.5029,10.2391,1.0775,3.8668,12.2478,1.2889,3.9462,10.8408,1.1408,4.4538,12.8053,1.3475,5.8287,7.3095,0.7692,4.7416
1992-07-31,9.608,10.3993,1.0824,3.9286,12.4391,1.2947,3.9878,10.9154,1.1361,4.4322,12.9207,1.3448,5.9508,7.245,0.7541,4.7242
1992-08-31,9.4142,10.2029,1.0838,3.9045,12.33,1.3097,4.0805,10.8284,1.1502,4.5481,12.7532,1.3547,5.9172,7.1942,0.7642,4.7186
1992-09-30,9.2647,10.0713,1.0871,3.9711,12.2306,1.3201,4.1987,10.8689,1.1732,4.6405,12.7048,1.3713,5.8801,7.0097,0.7566,4.7246
1992-10-30,9.066,9.7614,1.0767,3.8512,11.9596,1.3192,4.0806,10.5782,1.1668,4.6287,12.5456,1.3838,5.9061,6.8586,0.7565,4.6443
1992-11-30,8.5635,9.2818,1.0839,3.817,11.3907,1.3301,4.0366,9.9081,1.157,4.5735,12.216,1.4265,5.9001,6.5349,0.7631,4.5903
1992-12-31,8.4246,9.1326,1.084,3.7975,11.15,1.3235,3.9533,9.7553,1.158,4.6267,11.7408,1.3936,5.8402,6.4427,0.7647,4.5166
1993-01-29,8.2923,8.9088,1.0743,3.7736,11.0251,1.3296,3.904,9.6811,1.1675,4.615,11.2147,1.3524,5.7084,6.3684,0.768,4.4206
1993-02-26,7.7202,8.497,1.1006,3.7419,10.3199,1.3367,3.9065,9.2138,1.1935,4.5714,10.4686,1.356,5.6066,6.0379,0.7821,4.3721
1993-03-31,7.4881,8.2761,1.1052,3.7102,10.0143,1.3374,3.7988,8.9499,1.1952,4.4692,10.0691,1.3447,5.3953,5.8968,0.7875,4.2609
1993-04-30,7.3472,7.9545,1.0827,3.5452,9.7549,1.3277,3.6789,8.7089,1.1853,4.2926,9.8754,1.3441,5.3627,5.8247,0.7928,4.0591
1993-05-28,7.4486,8.1433,1.0933,3.5564,10.0623,1.3509,3.8345,8.5687,1.1504,4.4377,10.0096,1.3438,5.3654,5.7754,0.7754,4.1388
1993-06-30,7.4311,8.0682,1.0857,3.607,10.1062,1.36,4.0842,9.5405,1.2839,5.2537,9.8142,1.3207,5.3375,5.8656,0.7893,4.1814
1993-07-30,7.2531,7.9531,1.0965,3.6926,9.9623,1.3735,4.3877,9.5142,1.3118,5.7365,10.3253,1.4236,5.9593,5.8442,0.8058,4.271
1993-08-31,7.2036,7.8133,1.0846,3.7225,9.8924,1.3733,4.3418,9.3971,1.3045,5.7412,10.6316,1.4759,6.2078,6.0066,0.8338,4.4294
1993-09-30,7.0678,7.6095,1.0766,3.774,9.6216,1.3613,4.2623,9.2887,1.3142,5.696,10.5768,1.4965,6.2801,5.8874,0.833,4.3783
1993-10-29,7.0454,7.5836,1.0764,3.7689,9.6853,1.3747,4.3922,9.2128,1.3076,5.6936,10.5755,1.5011,6.2667,5.8165,0.8256,4.3287
1993-11-30,6.8903,7.3813,1.0712,3.7414,9.4777,1.3755,4.5285,9.2708,1.3455,5.8558,10.2156,1.4826,6.1866,5.7409,0.8332,4.3099
1993-12-31,6.6673,7.0576,1.0585,3.6768,9.4209,1.413,4.6861,9.1357,1.3702,5.8802,10.1043,1.5155,6.1646,5.7005,0.855,4.3164
1994-01-31,6.6399,7.0153,1.0565,3.782,9.3336,1.4057,4.7241,9.2004,1.3856,5.9457,10.4226,1.5697,6.8586,6.5518,0.9867,5.0035
1994-02-28,6.3502,6.7121,1.057,3.7245,9.0768,1.4294,4.8409,9.0499,1.4251,5.9842,10.232,1.6113,6.9536,6.5798,1.0362,5.0894
1994-03-31,6.2732,6.6033,1.0526,3.6835,8.9489,1.4265,4.7998,8.9359,1.4245,5.9997,10.1112,1.6118,6.9151,6.5471,1.0437,5.0857
1994-04-29,6.2183,6.5148,1.0477,3.6944,8.8172,1.4179,4.742,8.8485,1.423,5.9004,10.0298,1.6129,6.8933,6.6318,1.0665,5.097
1994-05-31,6.2835,6.5811,1.0474,3.6554,8.5105,1.3544,4.6705,8.8697,1.4116,5.8765,10.1146,1.6097,6.8391,6.9973,1.1136,5.0933
1994-06-30,6.4595,6.9003,1.0682,3.6251,8.6527,1.3395,4.5327,8.0286,1.2429,5.2318,10.1733,1.5749,6.8311,7.4866,1.159,5.1629
1994-07-29,6.4182,6.8804,1.072,3.6424,8.6866,1.3534,4.5476,7.9121,1.2328,5.1157,9.7039,1.5119,6.56,7.6598,1.1935,5.3839
1994-08-31,6.4171,6.9917,1.0895,3.6411,8.6279,1.3445,4.5131,7.9066,1.2321,5.1135,9.3771,1.4613,6.3678,8.3298,1.2981,5.7717
1994-09-30,6.464,7.0828,1.0957,3.5587,8.5885,1.3287,4.4704,7.8341,1.2119,5.192,9.3642,1.4487,6.2319,8.4248,1.3033,5.7463
1994-10-31,6.4674,7.1011,1.098,3.5596,8.5911,1.3284,4.4219,7.7787,1.2028,5.1386,9.3193,1.441,6.083,8.5069,1.3154,5.794
1994-11-30,6.4885,7.1309,1.099,3.6183,8.6272,1.3296,4.3838,7.6959,1.1861,4.9719,9.2621,1.4275,5.9491,8.6189,1.3283,5.7909
1994-12-30,6.6363,7.1882,1.0832,3.6202,8.648,1.3031,4.2812,7.8089,1.1767,4.9715,9.3478,1.4086,5.8602,8.8276,1.3302,5.8875
1995-01-31,6.6591,7.223,1.0847,3.5455,8.6797,1.3034,4.2195,7.6942,1.1554,4.9336,9.1447,1.3733,5.217,8.6965,1.3059,5.7249
1995-02-28,6.858,7.4847,1.0914,3.5661,8.7302,1.273,4.1335,7.7922,1.1362,4.9622,9.3169,1.3585,5.2955,8.7969,1.2827,5.7876
1995-03-31,6.9593,7.6814,1.1038,3.5831,8.9567,1.287,4.2023,7.8086,1.122,4.9714,9.4882,1.3634,5.3512,8.7723,1.2605,5.8472
1995-04-28,6.9239,7.6324,1.1023,3.5725,8.8665,1.2806,4.2098,7.7532,1.1198,4.9455,9.4982,1.3718,5.387,8.7335,1.2614,5.8755
1995-05-31,6.6573,7.4164,1.114,3.5624,8.5698,1.2873,4.086,7.5416,1.1328,4.8745,9.1966,1.3814,5.4355,8.555,1.2851,5.7549
1995-06-30,6.3618,7.2476,1.1392,3.5985,8.2025,1.2893,4.0473,7.0033,1.1008,4.4728,9.0083,1.416,5.3259,8.3508,1.3126,5.7177
1995-07-31,6.2883,7.0931,1.128,3.4597,7.9373,1.2622,3.9141,6.9452,1.1045,4.3677,8.6959,1.3829,4.9919,8.1971,1.3036,5.5142
1995-08-31,6.2924,7.244,1.1512,3.5586,7.9181,1.2584,3.9984,6.9096,1.0981,4.3686,8.6428,1.3735,4.923,7.9251,1.2595,5.4129
1995-09-29,6.2165,7.2457,1.1655,3.5973,7.8767,1.2671,4.0105,6.8371,1.0998,4.3815,8.6729,1.3951,4.9666,8.0006,1.287,5.4808
1995-10-31,6.3297,7.483,1.1822,3.7053,7.8429,1.2391,4.0139,6.8728,1.0858,4.6192,8.7848,1.3879,5.1044,7.9138,1.2503,5.4778
1995-11-30,6.2885,7.4408,1.1832,3.6739,7.7378,1.2305,3.9162,6.7348,1.071,4.5247,8.8805,1.4122,5.1961,7.7227,1.2281,5.4452
1995-12-29,6.0568,7.36,1.2152,3.7979,7.4654,1.2326,3.9257,6.5839,1.087,4.6194,8.861,1.463,5.3167,7.6122,1.2568,5.4646
1996-01-31,5.9701,7.3887,1.2376,3.7509,7.4233,1.2434,3.9224,6.358,1.065,4.5598,8.9375,1.497,5.5245,7.3044,1.2235,5.5675
1996-02-29,5.8435,7.2088,1.2336,3.7956,7.2895,1.2475,4.0405,6.2946,1.0772,4.5763,8.8242,1.5101,5.4982,7.2436,1.2396,5.4816
1996-03-29,6.0453,7.182,1.188,3.7912,7.2624,1.2013,4.0075,6.7943,1.1239,4.858,9.0217,1.4923,5.5767,7.284,1.2049,5.4491
1996-04-30,6.31,7.3706,1.1681,3.8387,7.5511,1.1967,4.2478,6.9786,1.1059,4.9435,9.1088,1.4435,5.6137,7.1965,1.1405,5.4934
1996-05-31,6.5834,7.4771,1.1358,3.8793,7.8169,1.1874,4.3515,7.18,1.0906,4.9793,9.404,1.4284,5.6601,7.3245,1.1126,5.4569
1996-06-28,6.9883,7.6952,1.1011,3.868,8.1346,1.164,4.4108,7.7671,1.1114,5.2169,10.0343,1.4359,5.8785,7.5388,1.0788,5.5152
1996-07-31,7.2757,7.781,1.0695,3.8408,8.2313,1.1313,4.3606,8.2376,1.1322,5.3028,10.7211,1.4735,5.9742,7.58,1.0418,5.2935
1996-08-30,7.323,7.7715,1.0612,3.7856,8.196,1.1192,4.3185,8.4382,1.1523,5.3256,10.7395,1.4665,5.9142,7.4326,1.015,5.1194
1996-09-30,7.3816,7.7478,1.0496,3.7229,8.1991,1.1107,4.3508,8.5093,1.1528,5.2449,10.9279,1.4804,6.07,7.7118,1.0447,5.2294
1996-10-31,7.9268,8.3915,1.0586,3.7238,9.037,1.1401,4.4439,8.8263,1.1135,5.2702,11.3346,1.4299,6.1322,7.8053,0.9847,5.5022
1996-11-29,7.9839,8.3753,1.049,3.7047,9.1123,1.1413,4.4945,8.9015,1.1149,5.325,11.353,1.422,6.0772,7.784,0.975,5.437
1996-12-31,7.9993,8.3865,1.0484,3.6022,9.1114,1.139,4.4768,8.8262,1.1034,5.2171,11.3802,1.4226,6.0421,7.6865,0.9609,5.2652
1997-01-31,7.9292,8.2998,1.0467,3.498,9.033,1.1392,4.4874,8.7673,1.1057,5.1343,11.2337,1.4167,5.7941,7.5902,0.9572,5.165
1997-02-28,7.9159,8.3003,1.0486,3.5157,8.9751,1.1338,4.5982,8.7374,1.1038,5.0918,11.2008,1.415,5.7307,7.4724,0.944,5.0893
1997-03-31,8.127,8.4339,1.0378,3.4863,9.1258,1.1229,4.5287,8.7832,1.0807,4.9943,11.5946,1.4267,5.7872,7.6074,0.9361,5.0231
1997-04-30,8.1249,8.4632,1.0416,3.4745,9.0094,1.1089,4.4682,8.8351,1.0874,4.9251,11.5454,1.421,5.7585,7.6099,0.9366,5.0456
1997-05-30,8.2949,8.5267,1.0279,3.4259,9.0691,1.0933,4.4801,8.8808,1.0706,4.9477,11.7914,1.4215,5.8401,7.4602,0.8994,5.0058
1997-06-30,8.5098,8.6561,1.0172,3.5182,8.9334,1.0498,4.5112,9.2063,1.0819,4.9799,12.4942,1.4682,6.0746,7.217,0.8481,5.034
1997-07-31,8.9707,9.092,1.0135,3.609,9.2002,1.0256,4.6248,9.7906,1.0914,5.2763,12.8768,1.4354,6.2913,7.383,0.823,5.1741
1997-08-29,9.0658,9.0609,0.9995,3.6009,9.1718,1.0117,4.5806,9.8101,1.0821,5.2278,13.2205,1.4583,6.5857,7.272,0.8021,5.0894
1997-09-30,9.3494,9.369,1.0021,3.5965,9.2552,0.9899,4.5232,10.2488,1.0962,5.2189,13.4798,1.4418,6.5282,7.067,0.7559,4.8962
