date,sector,industry,ratio,n_firms
2005-01-31,Basic Materials,Specialty Chemicals,1.2024,7
2005-02-28,Basic Materials,Specialty Chemicals,1.1943,7
2005-03-31,Basic Materials,Specialty Chemicals,1.1923,7
2005-04-29,Basic Materials,Specialty Chemicals,1.2112,7
2005-05-31,Basic Materials,Specialty Chemicals,1.1920,7
2005-06-30,Basic Materials,Specialty Chemicals,1.1863,7
2005-07-29,Basic Materials,Specialty Chemicals,1.1866,7
2005-08-31,Basic Materials,Specialty Chemicals,1.1888,7
2005-09-30,Basic Materials,Specialty Chemicals,1.1975,7
2005-10-31,Basic Materials,Specialty Chemicals,1.2288,7
2005-11-30,Basic Materials,Specialty Chemicals,1.2251,7
2005-12-30,Basic Materials,Specialty Chemicals,1.2543,7
2006-01-31,Basic Materials,Specialty Chemicals,1.2772,7
2006-02-28,Basic Materials,Specialty Chemicals,1.2814,7
2006-03-31,Basic Materials,Specialty Chemicals,1.2563,7
2006-04-28,Basic Materials,Specialty Chemicals,1.2520,7
2006-05-31,Basic Materials,Specialty Chemicals,1.2890,7
2006-06-30,Basic Materials,Specialty Chemicals,1.3023,7
2006-07-31,Basic Materials,Specialty Chemicals,1.2964,7
2006-08-31,Basic Materials,Specialty Chemicals,1.2155,7
2006-09-29,Basic Materials,Specialty Chemicals,1.2066,7
2006-10-31,Basic Materials,Specialty Chemicals,1.2050,7
2006-11-30,Basic Materials,Specialty Chemicals,1.1974,7
2006-12-29,Basic Materials,Specialty Chemicals,1.1912,7
2007-01-31,Basic Materials,Specialty Chemicals,1.1441,7
2007-02-28,Basic Materials,Specialty Chemicals,1.1341,7
2007-03-30,Basic Materials,Specialty Chemicals,1.1284,7
2007-04-30,Basic Materials,Specialty Chemicals,1.1070,7
2007-05-31,Basic Materials,Specialty Chemicals,1.0468,7
2007-06-29,Basic Materials,Specialty Chemicals,1.0479,7
2007-07-31,Basic Materials,Specialty Chemicals,1.0626,7
2007-08-31,Basic Materials,Specialty Chemicals,1.0716,7
2007-09-28,Basic Materials,Specialty Chemicals,1.0579,7
2007-10-31,Basic Materials,Specialty Chemicals,1.0536,7
2007-11-30,Basic Materials,Specialty Chemicals,1.0781,7
2007-12-31,Basic Materials,Specialty Chemicals,1.0989,7
2008-01-31,Basic Materials,Specialty Chemicals,1.0756,7
2008-02-29,Basic Materials,Specialty Chemicals,1.0173,7
2008-03-31,Basic Materials,Specialty Chemicals,1.0213,7
2008-04-30,Basic Materials,Specialty Chemicals,0.9868,7
2008-05-30,Basic Materials,Specialty Chemicals,0.9940,7
2008-06-30,Basic Materials,Specialty Chemicals,0.9894,7
2008-07-31,Basic Materials,Specialty Chemicals,0.9759,7
2008-08-29,Basic Materials,Specialty Chemicals,0.9770,7
2008-09-30,Basic Materials,Specialty Chemicals,0.9830,7
2008-10-31,Basic Materials,Specialty Chemicals,0.9559,7
2008-11-28,Basic Materials,Specialty Chemicals,0.9510,7
2008-12-31,Basic Materials,Specialty Chemicals,0.8677,7
2009-01-30,Basic Materials,Specialty Chemicals,0.9469,7
2009-02-27,Basic Materials,Specialty Chemicals,0.9802,7
2009-03-31,Basic Materials,Specialty Chemicals,0.9946,7
2009-04-30,Basic Materials,Specialty Chemicals,1.0059,7
2009-05-29,Basic Materials,Specialty Chemicals,0.9985,7
2009-06-30,Basic Materials,Specialty Chemicals,1.0037,7
2009-07-31,Basic Materials,Specialty Chemicals,1.0101,7
2009-08-31,Basic Materials,Specialty Chemicals,1.0200,7
2009-09-30,Basic Materials,Specialty Chemicals,1.0274,7
2009-10-30,Basic Materials,Specialty Chemicals,1.0355,7
2009-11-30,Basic Materials,Specialty Chemicals,1.0291,7
2009-12-31,Basic Materials,Specialty Chemicals,1.0744,7
2010-01-29,Basic Materials,Specialty Chemicals,1.0657,7
2010-02-26,Basic Materials,Specialty Chemicals,1.0845,7
2010-03-31,Basic Materials,Specialty Chemicals,1.0844,7
2010-04-30,Basic Materials,Specialty Chemicals,1.0611,7
2010-05-28,Basic Materials,Specialty Chemicals,1.0716,7
2010-06-30,Basic Materials,Specialty Chemicals,1.0822,7
2010-07-30,Basic Materials,Specialty Chemicals,1.0697,7
2010-08-31,Basic Materials,Specialty Chemicals,1.0479,7
2010-09-30,Basic Materials,Specialty Chemicals,1.0286,7
2010-10-29,Basic Materials,Specialty Chemicals,1.0208,7
2010-11-30,Basic Materials,Specialty Chemicals,1.0230,7
2010-12-31,Basic Materials,Specialty Chemicals,1.0633,7
2011-01-31,Basic Materials,Specialty Chemicals,1.0287,7
2011-02-28,Basic Materials,Specialty Chemicals,1.0209,7
2011-03-31,Basic Materials,Specialty Chemicals,1.0111,7
2011-04-29,Basic Materials,Specialty Chemicals,0.9963,7
2011-05-31,Basic Materials,Specialty Chemicals,1.0082,7
2011-06-30,Basic Materials,Specialty Chemicals,1.0088,7
2011-07-29,Basic Materials,Specialty Chemicals,1.0153,7
2011-08-31,Basic Materials,Specialty Chemicals,0.9946,7
2011-09-30,Basic Materials,Specialty Chemicals,0.9787,7
2011-10-31,Basic Materials,Specialty Chemicals,0.9883,7
2011-11-30,Basic Materials,Specialty Chemicals,1.0140,7
2011-12-30,Basic Materials,Specialty Chemicals,1.0525,7
2012-01-31,Basic Materials,Specialty Chemicals,1.0520,7
2012-02-29,Basic Materials,Specialty Chemicals,1.0588,7
2012-03-30,Basic Materials,Specialty Chemicals,1.0637,7
2012-04-30,Basic Materials,Specialty Chemicals,1.0685,7
2012-05-31,Basic Materials,Specialty Chemicals,1.0605,7
2012-06-29,Basic Materials,Specialty Chemicals,1.0554,7
2012-07-31,Basic Materials,Specialty Chemicals,1.0514,7
2012-08-31,Basic Materials,Specialty Chemicals,1.0630,7
2012-09-28,Basic Materials,Specialty Chemicals,1.0752,7
2012-10-31,Basic Materials,Specialty Chemicals,1.0861,7
2012-11-30,Basic Materials,Specialty Chemicals,1.0897,7
2012-12-31,Basic Materials,Specialty Chemicals,1.0578,7
2013-01-31,Basic Materials,Specialty Chemicals,1.0651,8
2013-02-28,Basic Materials,Specialty Chemicals,1.0407,8
2013-03-28,Basic Materials,Specialty Chemicals,1.0250,8
2013-04-30,Basic Materials,Specialty Chemicals,1.0210,8
2013-05-31,Basic Materials,Specialty Chemicals,1.0372,8
2013-06-28,Basic Materials,Specialty Chemicals,1.0474,8
2013-07-31,Basic Materials,Specialty Chemicals,1.0611,8
2013-08-30,Basic Materials,Specialty Chemicals,1.0538,8
2013-09-30,Basic Materials,Specialty Chemicals,1.0447,8
2013-10-31,Basic Materials,Specialty Chemicals,1.0439,8
2013-11-29,Basic Materials,Specialty Chemicals,1.0385,8
2013-12-31,Basic Materials,Specialty Chemicals,1.0223,8
2014-01-31,Basic Materials,Specialty Chemicals,1.0363,8
2014-02-28,Basic Materials,Specialty Chemicals,1.0454,8
2014-03-31,Basic Materials,Specialty Chemicals,1.0615,8
2014-04-30,Basic Materials,Specialty Chemicals,1.1039,8
2014-05-30,Basic Materials,Specialty Chemicals,1.1043,8
2014-06-30,Basic Materials,Specialty Chemicals,1.1113,8
2014-07-31,Basic Materials,Specialty Chemicals,1.0738,8
2014-08-29,Basic Materials,Specialty Chemicals,1.0425,8
2014-09-30,Basic Materials,Specialty Chemicals,1.0288,8
2014-10-31,Basic Materials,Specialty Chemicals,1.0104,8
2014-11-28,Basic Materials,Specialty Chemicals,1.0064,8
2014-12-31,Basic Materials,Specialty Chemicals,1.0223,8
2015-01-30,Basic Materials,Specialty Chemicals,1.0811,8
2015-02-27,Basic Materials,Specialty Chemicals,1.1194,8
2015-03-31,Basic Materials,Specialty Chemicals,1.1296,8
2015-04-30,Basic Materials,Specialty Chemicals,1.1218,8
2015-05-29,Basic Materials,Specialty Chemicals,1.1157,8
2015-06-30,Basic Materials,Specialty Chemicals,1.1073,8
2015-07-31,Basic Materials,Specialty Chemicals,1.1148,8
2015-08-31,Basic Materials,Specialty Chemicals,1.1192,8
2015-09-30,Basic Materials,Specialty Chemicals,1.1269,8
2015-10-30,Basic Materials,Specialty Chemicals,1.1327,8
2015-11-30,Basic Materials,Specialty Chemicals,1.0731,8
2015-12-31,Basic Materials,Specialty Chemicals,1.0835,8
2016-01-29,Basic Materials,Specialty Chemicals,1.0469,8
2016-02-29,Basic Materials,Specialty Chemicals,1.0283,8
2016-03-31,Basic Materials,Specialty Chemicals,1.0152,8
2016-04-29,Basic Materials,Specialty Chemicals,1.0068,8
2016-05-31,Basic Materials,Specialty Chemicals,1.0375,8
2016-06-30,Basic Materials,Specialty Chemicals,1.0520,8
2016-07-29,Basic Materials,Specialty Chemicals,1.0566,9
2016-08-31,Basic Materials,Specialty Chemicals,1.0572,9
2016-09-30,Basic Materials,Specialty Chemicals,1.0622,9
2016-10-31,Basic Materials,Specialty Chemicals,1.0685,9
2016-11-30,Basic Materials,Specialty Chemicals,1.0990,9
2016-12-30,Basic Materials,Specialty Chemicals,1.0959,9
2017-01-31,Basic Materials,Specialty Chemicals,1.1223,9
2017-02-28,Basic Materials,Specialty Chemicals,1.1176,9
2017-03-31,Basic Materials,Specialty Chemicals,1.1055,9
2017-04-28,Basic Materials,Specialty Chemicals,1.1453,9
2017-05-31,Basic Materials,Specialty Chemicals,1.1301,9
2017-06-30,Basic Materials,Specialty Chemicals,1.1233,9
2017-07-31,Basic Materials,Specialty Chemicals,1.1456,9
2017-08-31,Basic Materials,Specialty Chemicals,1.1303,9
2017-09-29,Basic Materials,Specialty Chemicals,1.0962,9
2017-10-31,Basic Materials,Specialty Chemicals,1.0812,9
2017-11-30,Basic Materials,Specialty Chemicals,1.0834,9
2017-12-29,Basic Materials,Specialty Chemicals,1.0660,9
2018-01-31,Basic Materials,Specialty Chemicals,0.9975,9
2018-02-28,Basic Materials,Specialty Chemicals,1.0102,9
2018-03-29,Basic Materials,Specialty Chemicals,1.0142,9
2018-04-30,Basic Materials,Specialty Chemicals,1.0263,9
2018-05-31,Basic Materials,Specialty Chemicals,0.9327,9
2018-06-29,Basic Materials,Specialty Chemicals,0.8778,9
2018-07-31,Basic Materials,Specialty Chemicals,0.8842,9
2018-08-31,Basic Materials,Specialty Chemicals,0.8948,9
2018-09-28,Basic Materials,Specialty Chemicals,0.8839,9
2018-10-31,Basic Materials,Specialty Chemicals,0.8805,9
2018-11-30,Basic Materials,Specialty Chemicals,0.8791,9
2018-12-31,Basic Materials,Specialty Chemicals,0.8680,9
2019-01-31,Basic Materials,Specialty Chemicals,0.7813,9
2019-02-28,Basic Materials,Specialty Chemicals,0.7626,9
2019-03-29,Basic Materials,Specialty Chemicals,0.7439,9
2019-04-30,Basic Materials,Specialty Chemicals,0.7452,10
2019-05-31,Basic Materials,Specialty Chemicals,0.7424,10
2019-06-28,Basic Materials,Specialty Chemicals,0.7526,10
2019-07-31,Basic Materials,Specialty Chemicals,0.7426,10
2019-08-30,Basic Materials,Specialty Chemicals,0.7437,10
2019-09-30,Basic Materials,Specialty Chemicals,0.7461,10
2019-10-31,Basic Materials,Specialty Chemicals,0.7421,10
2019-11-29,Basic Materials,Specialty Chemicals,0.7462,10
2019-12-31,Basic Materials,Specialty Chemicals,0.7639,10
2020-01-31,Basic Materials,Specialty Chemicals,0.7928,10
2020-02-28,Basic Materials,Specialty Chemicals,0.8108,10
2020-03-31,Basic Materials,Specialty Chemicals,0.8353,10
2020-04-30,Basic Materials,Specialty Chemicals,0.8622,10
2020-05-29,Basic Materials,Specialty Chemicals,0.8604,10
2020-06-30,Basic Materials,Specialty Chemicals,1.0487,10
2020-07-31,Basic Materials,Specialty Chemicals,1.0594,10
2020-08-31,Basic Materials,Specialty Chemicals,1.0691,10
2020-09-30,Basic Materials,Specialty Chemicals,1.0816,10
2020-10-30,Basic Materials,Specialty Chemicals,1.0790,10
2020-11-30,Basic Materials,Specialty Chemicals,1.0679,10
2020-12-31,Basic Materials,Specialty Chemicals,1.0492,10
2021-01-29,Basic Materials,Specialty Chemicals,1.0500,10
2021-02-26,Basic Materials,Specialty Chemicals,1.0535,10
2021-03-31,Basic Materials,Specialty Chemicals,1.0686,10
2021-04-30,Basic Materials,Specialty Chemicals,1.0582,10
2021-05-28,Basic Materials,Specialty Chemicals,1.0626,10
2021-06-30,Basic Materials,Specialty Chemicals,0.9804,10
2021-07-30,Basic Materials,Specialty Chemicals,0.9676,10
2021-08-31,Basic Materials,Specialty Chemicals,0.9536,10
2021-09-30,Basic Materials,Specialty Chemicals,0.9259,10
2021-10-29,Basic Materials,Specialty Chemicals,0.9338,10
2021-11-30,Basic Materials,Specialty Chemicals,0.9511,10
2021-12-31,Basic Materials,Specialty Chemicals,0.9525,10
2022-01-31,Basic Materials,Specialty Chemicals,0.9650,10
2022-02-28,Basic Materials,Specialty Chemicals,0.9372,10
2022-03-31,Basic Materials,Specialty Chemicals,0.9367,10
2022-04-29,Basic Materials,Specialty Chemicals,0.9111,10
2022-05-31,Basic Materials,Specialty Chemicals,0.9373,10
2022-06-30,Basic Materials,Specialty Chemicals,0.8766,10
2022-07-29,Basic Materials,Specialty Chemicals,0.8042,10
2022-08-31,Basic Materials,Specialty Chemicals,0.7724,10
2022-09-30,Basic Materials,Specialty Chemicals,0.7719,10
2022-10-31,Basic Materials,Specialty Chemicals,0.7668,10
2022-11-30,Basic Materials,Specialty Chemicals,0.7805,10
2022-12-30,Basic Materials,Specialty Chemicals,0.7954,10
2023-01-31,Basic Materials,Specialty Chemicals,0.8085,10
2023-02-28,Basic Materials,Specialty Chemicals,0.8179,10
2023-03-31,Basic Materials,Specialty Chemicals,0.8130,10
2023-04-28,Basic Materials,Specialty Chemicals,0.8297,10
2023-05-31,Basic Materials,Specialty Chemicals,0.8336,10
2023-06-30,Basic Materials,Specialty Chemicals,0.8473,10
2023-07-31,Basic Materials,Specialty Chemicals,0.8732,10
2023-08-31,Basic Materials,Specialty Chemicals,0.9000,10
2023-09-29,Basic Materials,Specialty Chemicals,0.9113,10
2023-10-31,Basic Materials,Specialty Chemicals,0.9205,10
2023-11-30,Basic Materials,Specialty Chemicals,0.9197,10
2023-12-29,Basic Materials,Specialty Chemicals,0.9230,10
2024-01-31,Basic Materials,Specialty Chemicals,0.9258,10
2024-02-29,Basic Materials,Specialty Chemicals,0.9375,10
2024-03-28,Basic Materials,Specialty Chemicals,0.9394,10
2024-04-30,Basic Materials,Specialty Chemicals,0.9290,10
2024-05-31,Basic Materials,Specialty Chemicals,0.9317,10
2024-06-28,Basic Materials,Specialty Chemicals,0.8911,10
2024-07-31,Basic Materials,Specialty Chemicals,0.8764,10
2024-08-30,Basic Materials,Specialty Chemicals,0.8926,10
2024-09-30,Basic Materials,Specialty Chemicals,0.8841,10
2024-10-31,Basic Materials,Specialty Chemicals,0.8735,10
2024-11-29,Basic Materials,Specialty Chemicals,0.8703,10
2024-12-31,Basic Materials,Specialty Chemicals,0.8614,10
2025-01-31,Basic Materials,Specialty Chemicals,0.8614,10
2025-02-28,Basic Materials,Specialty Chemicals,0.8483,10
2025-03-31,Basic Materials,Specialty Chemicals,0.8519,10
2025-04-30,Basic Materials,Specialty Chemicals,0.8562,10
2025-05-30,Basic Materials,Specialty Chemicals,0.8455,10
2025-06-30,Basic Materials,Specialty Chemicals,0.8115,10
2025-07-31,Basic Materials,Specialty Chemicals,0.8721,10
2025-08-29,Basic Materials,Specialty Chemicals,0.8866,10
2025-09-30,Basic Materials,Specialty Chemicals,0.9017,10
2025-10-31,Basic Materials,Specialty Chemicals,0.9163,11
