t,phase,df_cumulative,df_equity,annuity_equity,dri_equity,normal_eps,aeg_eps,contrib_eps,cum_contrib_eps,normal_nfe,aeg_nfe,contrib_nfe,normal_oi,aeg_oi,contrib_oi,retention_rate,retained_eps,coe,rore,pi,infl_index,eps_real,dps_real
1,explicit,0.93945092107128,0.930701197538512,13.8379613695219,-0.174693457680627,8.22885269869062,-0.174693457680627,-2.41740131889273,-2.41740132,0,0.290305369343672,6.9000923411899,8.16230663187559,0.182157978478076,2.95582506550387,0.863362,6.953655,0.074459,0.051511,0.020811,1.020811,7.889961,1.078069
2,explicit,0.877922678016706,0.85963858029698,12.9072601719834,-0.14506058013356,8.65180909630699,-0.253189543120612,-1.8723346484827,-4.28973597,0.296325432177077,0.163541055283533,3.79757817395805,8.86064507748918,-0.00215903684219754,1.66494518797679,0.863362,7.251049,0.082666,0.049537,0.020737,1.04198,8.060254,1.101337
3,explicit,0.815624423619028,0.788160406464804,12.0476215916864,-0.236353920241446,9.08187464854282,-0.320644249262674,-2.84750259278058,-7.13723856,0.470148559235186,0.207673276738197,4.52608291323436,9.44826921025386,-0.00921697500032437,1.06810572304513,0.863362,7.564113,0.09069,0.050008,0.022359,1.065277,8.224368,1.123761
4,explicit,0.754218204200679,0.718310403905144,11.2594611852216,-0.344206766876046,9.52435148754791,-0.38946628029959,-3.87558273133146,-11.01282129,0.693432816221658,0.222261405958806,4.58988289286064,10.0980819134707,-0.0475024840419689,-0.0834203694387335,0.863362,7.886713,0.097242,0.049398,0.023031,1.089811,8.382078,1.14531
5,explicit,0.69427194223132,0.650864628980578,10.5411507813165,-0.46051112465416,9.98167101476927,-0.457795344696024,-4.85431720145313,-15.86713849,0.937355375332753,0.247440515397775,4.85421640314799,10.7827374979823,-0.0740659371785348,-1.07516429423845,0.863362,8.222552,0.103625,0.049322,0.023655,1.115591,8.537064,1.166487
6,explicit,0.640662874061911,0.592579874252865,9.8902861523359,-0.0439564192268521,10.3645119019363,-0.440374741768641,-0.434741564385606,-16.30188006,1.21382613187819,0.290398170945284,5.32121906747089,11.4576298655683,-0.0292684025770935,4.26480745066685,0.863362,8.568123,0.098358,0.048678,0.024502,1.142926,8.683097,1.186441
7,explicit,0.590452778041363,0.539020913419222,9.29770627808304,-0.379361360230081,10.8087428265011,-0.491560869735324,-3.52719050067335,-19.82907056,1.54110589817029,0.306840730905577,5.19271295592335,12.2270947692552,-0.0619661834135759,0.252786717094844,0.863362,8.907463,0.099363,0.045873,0.024519,1.170949,8.810957,1.203912
8,explicit,0.544047673941547,0.490562291144016,8.75868536466381,-0.368442666222416,11.2311723124098,-0.529240703231121,-3.22707338835999,-23.05614395,1.89264073289131,0.33194153751397,5.19540150121456,13.0036890771946,-0.0771751976105648,0.452724469897922,0.863362,9.239641,0.098782,0.043194,0.024186,1.199269,8.923709,1.219318
9,explicit,0.501166745265631,0.446628194850604,8.2681230735198,-0.434641264432628,11.6454153895043,-0.560198311978128,-3.59366746715923,-26.64981141,2.27721189001922,0.347455228124225,5.17777268711099,13.8043026723581,-0.0944184766884781,-0.168321036941821,0.863362,9.570555,0.098368,0.041483,0.023658,1.227642,9.029682,1.233798
10,explicit,0.461708528813786,0.406917010979426,7.82149487866919,-0.44820556861358,12.0540938148859,-0.578753669511709,-3.50563755950213,-30.15544897,2.68511320233608,0.356335408111719,5.1496358495396,14.6231251425089,-0.106336386686849,-0.219682799893169,0.863362,9.907373,0.09759,0.040763,0.02303,1.255915,9.137039,1.248467
11,continuing,0.425874331852514,0.371633419014802,0,-4.86328460551216,12.451517360456,-5.17918489983679,0,-30.15544897,3.11041060524105,0.263610847412176,0,15.4549355795568,-4.80858166628436,0,,,,,0.022674,1.284391,5.662085,0.773656
12,continuing,0.393041645711097,0.339847340095014,0,0,7.88168361384861,-0.0981196670077011,0,-30.15544897,3.44908082530323,0.267114641811443,0,11.2680056106657,0.231753803289889,0,,,,,0.022246,1.312964,5.928238,0.810023
13,continuing,0.362947689464619,0.311175958619537,0,-1.02695629777827e-14,8.42616659633073,-0.129201214634714,0,-30.15544897,3.79805353272377,0.284542269216759,0,12.1622385919734,0.217322591663143,0,,,,,0.022027,1.341885,6.183066,0.844842
14,continuing,0.335372435429856,0.285294989630878,0,1.86517468137026e-14,8.97168404387665,-0.162715212945011,0,-30.15544897,4.17223077449102,0.295893730282493,0,13.0830717335195,0.194021602185638,0,,,,,0.021955,1.371347,6.423589,0.877706
