Fiscal year,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
CPI deflator,1.55651802343674,1.56207553941744,1.53686667645009,1.48983946758899,1.45963309145709,1.43856162296046,1.4155979656664,1.41391967664767,1.39630510776769,1.36717934073107,1.33458246882803,1.31083052683869,1.29485609189718,1.23675314610473,1.14511284618407,1.0998385307612,1.06832882249617,1.04093892397101
BEA deflator,1.19073558487673,1.19852164730729,1.22074564351828,1.20749621506608,1.19075960859477,1.18957159701297,1.17840848965249,1.17634162140615,1.18776413765345,1.1804,1.17538112260647,1.16403368636964,1.1575953711876,1.14438616731461,1.07973619457937,1.04651884425452,1.03250411112277,1.01724420238023
REPORTED (nominal $mm),,,,,,,,,,,,,,,,,,
Total assets,39572,53851,75183,116371,176064,207000,231839,290479,321686,375319,365725,338516,323888,351002,352755,352583,364980,359241
Total liabilities,18542,26019,27392,39756,57854,83451,120292,171124,193437,241272,258578,248028,258549,287912,302083,290437,308030,285508
Cash,11875,5263,11261,9815,10746,14259,13844,21120,20484,20289,25913,48844,38016,34940,23646,29965,29943,35934
Short-term investments,12615,18201,14359,16137,18383,26287,11233,20481,46671,53892,40388,51713,52927,27699,24658,31590,35228,18763
Total debt,0,0,0,0,0,16960,35295,64462,87032,115680,114483,108047,112436,124719,120881,111947,119059,112377
Pension (NC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Minority interest,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Reported net PP&E,2455,2954,4768,7777,15452,16597,20624,22471,27010,33783,41304,37378,36766,39440,42117,43715,45680,49834
Reported CSE (common),21030,27832,47791,76615,118210,123549,111547,119355,128249,134047,107147,90488,65339,63090,50672,62146,56950,73733
Shares (mm),25259.892,25396.14,25891.936,26226.06,26469.94,26086.536,24490.652,23172.276,22001.124,21006.768,20000.436,18595.652,17528.214,16864.919,16325.819,15812.547,15408.095,15004.697
Operating income,6275,11370,18385,33790,55241,48999,52503,71230,60024,61344,70898,63930,66288,108949,119437,114301,123216,133050
D&A (reconciled),0,0,0,0,0,0,0,0,0,10157,10903,12547,11056,11284,11104,11519,11445,11698
Net income (common),4834,8235,14013,25922,41733,37037,39510,53394,45687,48351,59531,55256,57411,94680,99803,96995,93736,112010
