field,value,data_as_of
ticker,AZO,2026-08-06T03:38Z
company,AutoZone Inc,2026-08-06T03:38Z
source,eodhd:Highlights+AnalystRatings,2026-08-06T03:38Z
eodhd_updated_at,2026-08-05,2026-08-06T03:38Z
rating,4.3448,2026-08-06T03:38Z
target_price,3950.5217,2026-08-06T03:38Z
wall_street_target_price,3950.5217,2026-08-06T03:38Z
strong_buy,17,2026-08-06T03:38Z
buy,6,2026-08-06T03:38Z
hold,5,2026-08-06T03:38Z
sell,1,2026-08-06T03:38Z
strong_sell,0,2026-08-06T03:38Z
analyst_count,29,2026-08-06T03:38Z
eps_est_current_year,151.041,2026-08-06T03:38Z
eps_est_next_year,175.2156,2026-08-06T03:38Z
eps_est_current_quarter,36.1687,2026-08-06T03:38Z
eps_est_next_quarter,0,2026-08-06T03:38Z
most_recent_quarter,2026-05-31,2026-08-06T03:38Z
eps_ttm,147.16,2026-08-06T03:38Z
pe_ratio,20.5764,2026-08-06T03:38Z
consensus_revenue_current_year,,2026-08-06T03:38Z
consensus_revenue_next_year,,2026-08-06T03:38Z
