Fiscal year,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
CPI deflator,1.55651802343674,1.56207553941744,1.53686667645009,1.48983946758899,1.45963309145709,1.43856162296046,1.4155979656664,1.41391967664767,1.39630510776769,1.36717934073107,1.33458246882803,1.31083052683869,1.29485609189718,1.23675314610473,1.14511284618407,1.0998385307612,1.06832882249617,1.04093892397101
BEA deflator,1.19073558487673,1.19852164730729,1.22074564351828,1.20749621506608,1.19075960859477,1.18957159701297,1.17840848965249,1.17634162140615,1.18776413765345,1.1804,1.17538112260647,1.16403368636964,1.1575953711876,1.14438616731461,1.07973619457937,1.04651884425452,1.03250411112277,1.01724420238023
REPORTED (nominal $mm),,,,,,,,,,,,,,,,,,
Total assets,5257.112,5318.405,5571.594,5869.602,6265.639,6892.089,7517.858,8107.172,8599.787,9259.781,9346.98,9895.913,14423.872,14516.199,15275.043,15985.878,17176.538,19355.324
Total liabilities,5027.425,5751.479,6310.359,7123.834,7813.664,8579.407999,9119.02,9803.739,10387.325,10688.158,10867.335,11609.764,15301.849,16313.735,18813.956,20335.772,21926.152,22769.637
Cash,242.461,92.706,98.28,97.606,103.093,142.191,124.485,175.309,189.734,293.27,217.824,176.3,1750.815,1171.335,264.38,277.054,298.172,271.803
Short-term investments,0,0,16.303,11.872,22.515,16.41,10.4,8.79,7.326,18.573,59.444,67.958,76.118,46.007,49.768,39.639,38.431,18.661
Total debt,2265.917,2743.635,2930.433,3376.978,3798.025,4219.246,4359.611,4665.404,4968.953,5129.372,5058.22,5262.59,8306.275,8229.162,9296.349,10929.767,12366.969,12288.796
Pension (NC),0,70.26,94.281,84.736,123.767,48.536,57.367,57.115,38.849,6.86,0,0,0,0,0,0,0,0
Minority interest,0,0,0,0,0,1e-06,20.695,4.823,0,0,0,0,0,0,0,0,0,0
Reported net PP&E,2289.656,2354.357,2519.946,2668.875,2855.928,3071.361,3310.475,3510.455,3733.254,4031.018,4218.4,4398.751,7090.898,7575.603,8089.236,8594.645,9241.319,10257.175
Reported CSE (common),229.687,-433.074,-738.765,-1254.232,-1548.025,-1687.319,-1621.857,-1701.39,-1787.538,-1428.377,-1520.355,-1713.851,-877.977,-1797.536,-3538.913,-4349.894,-4749.614,-3414.313
