year,real_revenue,real_gross_profit,real_sga,real_gross_ppe_series,real_net_ppe_series
2008,10152.709450579,5086.79584819069,3337.17464224837,5103.81987023162,3560.98562507795
2009,10648.3940269138,5336.75141456718,3499.04920829507,5430.11379314608,3692.17940004778
2010,11315.3622556316,5704.45566511355,3676.18509006861,5815.13696911175,3869.62941878309
2011,12027.4337961803,6137.33856267255,3910.8286024211,5961.26816105904,3793.46944218636
2012,12558.4831491633,6469.14640812913,4091.35155535423,6411.43959412673,4015.76365197198
2013,13159.2856028795,6820.12714795005,4269.4164114021,6904.45873208036,4263.69717852932
2014,13413.2338068524,6985.84430995286,4395.43168339416,7433.83282106996,4529.13935880026
2015,14404.0804786998,7531.9939490121,4770.5367106157,7999.15790114371,4810.29651757928
2016,14850.6487233622,7831.50672492052,4539.30971226673,8579.72632175148,5085.08673095678
2017,14886.7728751142,7847.08988764687,4561.59387034922,9200.19067869856,5411.92742377073
2018,14975.4526455694,7972.45668483157,5095.17695698646,9762.20159949952,5675.74165567253
2019,15551.3564869689,8343.43761415882,5438.45758290209,10250.0467475653,5882.86394349608
2020,16356.5794225941,8767.15076878108,5636.60438737921,10627.6687876429,6025.80445416388
2021,18093.1852749566,9544.99487970993,5903.34184866959,11122.515165692,6338.04765811261
2022,18610.6373521382,9702.14035622149,5956.7865619347,11528.4204193786,6649.15838864263
2023,19200.1110977512,9975.99960586409,6155.1759477391,12012.5052948473,7053.41280315808
2024,19753.6862400785,10487.8396035436,6440.25364712183,12746.7622761451,7713.76909713577
2025,19714.0476953715,10374.4907213451,6616.53881933759,13539.5586857545,8594.54852849604
