field,value
ticker,COST
fiscal_year,2025
rev_cagr_5y,0.10540604135545939
rev_cagr_10y,0.0900593060353001
eps_cagr_5y,0.15094493266675824
eps_cagr_10y,0.1298894925789651
oi_cagr_5y,0.13821593418620726
oi_cagr_10y,0.1109984844376779
roe_reported,0.2777053902071046
rnoa_econ,0.319285873791834
roce_econ,0.181634040220754
roic_reported,0.20819383067781952
net_profit_margin,0.029425763438516175
asset_turnover,3.569890660060442
equity_multiplier,2.6436359895761896
flev_econ,-0.235540060531935
nbc_econ,-0.0162134214597103
spread_econ,0.335499295251544
