Fiscal year,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
CPI deflator,1.55651802343674,1.56207553941744,1.53686667645009,1.48983946758899,1.45963309145709,1.43856162296046,1.4155979656664,1.41391967664767,1.39630510776769,1.36717934073107,1.33458246882803,1.31083052683869,1.29485609189718,1.23675314610473,1.14511284618407,1.0998385307612,1.06832882249617,1.04093892397101
BEA deflator,1.19073558487673,1.19852164730729,1.22074564351828,1.20749621506608,1.19075960859477,1.18957159701297,1.17840848965249,1.17634162140615,1.18776413765345,1.1804,1.17538112260647,1.16403368636964,1.1575953711876,1.14438616731461,1.07973619457937,1.04651884425452,1.03250411112277,1.01724420238023
REPORTED (nominal $mm),,,,,,,,,,,,,,,,,,
Total assets,20682.348,21979,23815,26761,27140,30283,33024,33017,33163,36347,40830,45400,55556,59268,64166,68994,69831,77099
Total liabilities,11408.43,11875,12885,14188,14622,19271,20509,22174,20831,25268,27727,29816,36851,41190,43519,43936,46209,47935
Cash,2619.429,3157,3214,4009,3528,4644,5738,4801,3379,4546,6055,8384,12277,11258,10203,13700,9906,14161
Short-term investments,655.584,570,1535,1604,1326,1480,1577,1618,1350,1233,1204,1060,1028,917,846,1534,1238,1123
Total debt,2346.364,2226,2167,2153,1382,4998,5093,6135,5161,6659,6974,7218,10167,10133,9039,8884,8272,8173
Pension (NC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Minority interest,81.857,80,101,571,157,179,0,226,253,301,0,0,421,514,5,0,0,0
Reported net PP&E,10354.996,10900,11314,12432,12961,13881,14830,15401,17043,18161,19681,20890,24595,26382,27420,29397,31649,34634
Reported CSE (common),9192.061,10024,10829,12002,12361,10833,12515,10617,12079,10778,13103,15584,18284,17564,20642,25058,23622,29164
Shares (mm),444.24,440.454,445.97,443.094,439.373,440.512,442.485,442.716,441.263,440.937,441.834,442.923,443.901,444.346,444.757,444.452,444.759,444.803
Operating income,1968.835,1777,2077,2439,2759,3053,3220,3624,3672,4111,4480,4737,5435,6708,7793,8114,9285,10383
D&A (reconciled),0,0,0,0,0,0,0,0,0,0,1437,1492,1645,1781,1900,2077,2237,2426
Net income (common),1283,1086,1303,1462,1709,2039,2058,2377,2350,2679,3134,3659,4002,5007,5844,6292,7367,8099
Interest expense,103,108,111,116,95,99,113,124,133,134,159,150,164,171,158,160,169,154
