field,value
ticker,COST
run_status,OK
anchor_year,2025
tie_check,PASS
max_identity_tie,4.80213202536106e-10
anchor_earnings_check,PASS
anchor_oi_at0,7670.53367501404
anchor_representativeness,PASS
anchor_margin,0.03772412665540356
anchor_normal_margin,0.03304017380040482
anchor_margin_vs_normal,1.1417653818437647
inflation_verdict,NET LOSER from inflation
rd_capitalization_wired,False
cfg_N,12
cfg_N_reviewed,True
payout_seed,0.277899
ppe_life_years,19.66
inputs_on_template_default,0
config_hash,04bcb0fd6136220c
vintage,2026-08-09T04:46Z
