t,phase,df_cumulative,df_equity,annuity_equity,dri_equity,normal_eps,aeg_eps,contrib_eps,cum_contrib_eps,normal_nfe,aeg_nfe,contrib_nfe,normal_oi,aeg_oi,contrib_oi,retention_rate,retained_eps,coe,rore,pi,infl_index,eps_real,dps_real
1,explicit,0.957444692291061,0.930701197538512,13.8379613695219,0.46624744450817,16.645022551496,0.46624744450817,6.45191412574237,6.45191413,0,-9.14001283477928,-216.322372392227,16.3147311564248,-8.34347399519991,-203.341104514505,0.671799,11.495334,0.074459,0.125754,0.020811,1.020811,16.762427,5.501445
2,explicit,0.916775546271509,0.85963858029698,12.9072601719834,7.17574845629448,18.1779974010122,6.79404501779779,92.6192522541011,99.07116638,-9.32954929319169,-17.9302176575723,-412.812528377532,8.40812371607783,-10.6958482480318,-247.259451314597,0.671799,16.776193,0.082666,0.683823,0.020737,1.04198,23.965962,7.865653
3,explicit,0.875805678546222,0.788160406464804,12.0476215916864,10.5885289409934,26.6767228994108,10.0976600773822,127.566589893709,226.63775627,-27.869263158878,-29.4560304883091,-648.442109228981,-1.92918707727054,-18.6217235931237,-414.479733060303,0.671799,24.704994,0.09069,0.703517,0.022359,1.065277,34.520959,11.329813
4,explicit,0.835389875431955,0.718310403905144,11.2594611852216,16.0386870942101,39.4547193878145,15.3846198385497,180.586974799173,407.22473107,-58.645558028413,-45.2554923416129,-952.855527821473,-20.3979868031158,-28.6637243405458,-611.664372822437,0.671799,36.841013,0.097242,0.731227,0.023031,1.089811,50.320023,16.515082
5,explicit,0.795579101735622,0.650864628980578,10.5411507813165,24.7725836261337,59.0827435223273,23.8618950593718,261.131539245847,668.35627032,-106.358875821179,-71.4766150298604,-1440.76433506363,-49.2502541151356,-45.6405981542045,-934.302737587805,0.671799,55.722125,0.103625,0.762881,0.023655,1.115591,74.35037,24.401866
6,explicit,0.755633817230819,0.592579874252865,9.8902861523359,41.6946193449754,89.0923495893455,39.2741669860864,412.371716334527,1080.72798665,-182.192871919297,-118.089261445976,-2270.93078458625,-95.6355642734508,-76.2800525163904,-1467.13825339253,0.671799,86.236497,0.098358,0.81515,0.024502,1.142926,112.313932,36.861545
7,explicit,0.716324979873738,0.539020913419222,9.29770627808304,68.4448489367764,137.968242286102,65.7116432741874,636.380101661911,1717.10808832,-307.644655106127,-190.99894606861,-3508.51544575748,-173.512877561059,-121.450838053388,-2245.86021128305,0.671799,136.831943,0.099363,0.873335,0.024519,1.170949,173.944273,57.088684
8,explicit,0.677763218172858,0.490562291144016,8.75868536466381,117.298780081791,218.813162424437,112.746385820396,1027.3831083953,2744.49119671,-510.70370536127,-319.923294695265,-5624.76579593906,-297.621908629938,-201.445543181764,-3556.39889898209,0.671799,222.741373,0.098782,0.934575,0.024186,1.199269,276.467938,90.737054
9,explicit,0.640235435446505,0.446628194850604,8.2681230735198,200.161205592251,356.044700921311,193.045523663379,1654.95748238083,4399.44867909,-850.278142491507,-538.895420974669,-9138.96542715733,-503.088033021523,-336.995305859963,-5759.28717269149,0.671799,368.878264,0.098368,0.976607,0.023658,1.227642,447.272271,146.795207
10,explicit,0.6040075085316,0.406917010979426,7.82149487866919,342.500072762291,589.239474325179,330.840889509202,2678.86256505408,7078.31124415,-1421.16623087722,-911.626316698696,-14961.7177709765,-845.800677362711,-566.911506378822,-9416.45153269701,0.671799,618.109068,0.09759,1.005725,0.02303,1.255915,732.597876,240.439356
11,continuing,0.568994181626321,0.371633419014802,0,-845.936959825673,985.611744177603,-867.423590254049,0,7078.31124415,-2385.68643076271,-169.017131961919,0,-1420.72351624922,-1015.79189255185,0,,,,,0.022674,1.284391,92.018808,30.200665
12,continuing,0.53544487979469,0.339847340095014,0,-8.54871728961371e-14,126.477270333763,-1.59461663366353,0,7078.31124415,-2611.53617313202,-166.27257791475,0,-2487.51022516811,-165.415872178558,0,,,,,0.022246,1.312964,95.11505,31.216854
13,continuing,0.50339575667273,0.311175958619537,0,-3.82804898890754e-13,133.515562727272,-2.07295663722394,0,7078.31124415,-2838.99661185896,-172.852972024193,0,-2707.86981676124,-172.537161031865,0,,,,,0.022027,1.341885,97.953678,32.148495
14,continuing,0.472901115671853,0.285294989630878,0,6.72351063712995e-13,140.400294610013,-2.57777520527804,0,7078.31124415,-3077.9759083773,-174.898456356253,0,-2939.89200843097,-175.159836897856,0,,,,,0.021955,1.371347,100.501567,32.984715
15,continuing,0.443968906591919,0.26189504250808,0,-1.54987134237672e-13,147.094570912117,-3.10344297309109,0,7078.31124415,-3324.7408873006,-178.422587651219,0,-3179.88524615359,-179.2871008592,0,,,,,0.022093,1.401644,102.730137,33.716134
16,continuing,0.416600707181396,0.240782892130523,0,-6.3682392692499e-13,153.529738222494,-4.28247467353154,0,7078.31124415,-3581.51198292899,-178.094004767703,0,-3430.10913408376,-180.249590063971,0,,,,,0.022365,1.432992,104.150776,34.182389
17,continuing,0.390785696399676,0.221619611667774,0,4.2232883856741e-13,159.030905676694,-3.76324120591539,0,7078.31124415,-3845.09942785692,-178.817593412375,0,-3688.11491302085,-180.534443777668,0,,,,,0.02274,1.465579,105.942913,34.77057
18,continuing,0.366488982589916,0.204209060067551,0,6.01296790136985e-13,165.341687565178,-4.16072159238217,0,7078.31124415,-4117.15957326455,-178.982163174781,0,-3953.7958466749,-181.164923791636,0,,,,,0.023172,1.499539,107.487005,35.277342
19,continuing,0.343657067646665,0.188376791175401,0,1.33226762955019e-13,171.532004848121,-4.53492692772619,0,7078.31124415,-4397.69545509247,-180.044334688141,0,-4228.07003045552,-182.67268140469,0,,,,,0.023638,1.534986,108.793896,35.706265
20,continuing,0.322239686499247,0.173975228255342,0,-9.73443547991337e-13,177.603254420917,-4.87942611706029,0,7078.31124415,-4687.92936290087,-178.391732462708,0,-4512.15649205536,-181.440775004367,0,,,,,0.024071,1.571934,109.879824,36.062668
21,continuing,0.302315303042302,0.161010924618533,0,2.48689957516035e-13,183.428946829587,-6.67861161631672,0,7078.31124415,-4983.25208187605,-136.071368381717,0,-4801.51867078524,-141.054444259251,0,,,,,0.024029,1.609705,109.80291,36.037425
22,continuing,0.283727858665776,0.149014613685022,0,-3.41060513164848e-13,187.71740970644,-0.863451797695177,0,7078.31124415,-5243.57373379657,-162.506863092591,0,-5057.63657183815,-161.590067142265,0,,,,,0.024271,1.648774,113.32901,37.194695
23,continuing,0.266396240680552,0.137912689573753,0,5.38680211548126e-13,198.460504547793,-0.784728003874363,0,7078.31124415,-5538.44872557031,-165.883791731132,0,-5341.92639208399,-164.730348673534,0,,,,,0.024485,1.689145,117.027149,38.408427
24,continuing,0.25027495033275,0.127656531015138,0,2.8244073746464e-13,209.935770296261,-0.700116790134786,0,7078.31124415,-5844.19707077756,-156.390769970531,0,-5636.37644757262,-154.975739669346,0,,,,,0.024519,1.730561,120.906275,39.681561
25,continuing,0.235286710584172,0.118186816145781,0,6.92779167366098e-14,222.178467113711,-0.61753307332171,0,7078.31124415,-6147.39735506643,-156.751949903726,0,-5927.52736759666,-155.061003333101,0,,,,,0.024466,1.7729,124.970887,41.01557
26,continuing,0.221370001854283,0.109406837908205,0,-3.01980662698043e-13,235.270022661224,1.39124384636204,0,7078.31124415,-6457.09780474659,-154.578362582956,0,-6224.41535971058,-150.599541111384,0,,,,,0.024262,1.815914,130.326273,42.773213
27,continuing,0.208460507616643,0.101316696133278,0,-5.99520433297585e-13,251.209730669709,0.1024612285035,0,7078.31124415,-6769.42545566062,-147.722950230698,0,-6521.06516460321,-144.771049389898,0,,,,,0.023859,1.85924,135.169315,44.362704
28,continuing,0.196487622922615,0.093872773062142,0,2.02504679691629e-12,266.621237579298,0.217057683355506,0,7078.31124415,-7078.25571963436,-146.245885972757,0,-6814.73480681512,-142.928503529334,0,,,,,0.023291,1.902544,140.253451,46.031323
29,continuing,0.185395575856903,0.0870390141132662,0,-1.80744308408975e-12,282.881810715052,0.330002933455887,0,7078.31124415,-7386.93201254256,-136.499118556043,0,-7107.39964630136,-132.819671148741,0,,,,,0.022483,1.945319,145.586315,47.781574
30,continuing,0.175114588952273,0.0807715675341167,0,-6.54587495318992e-13,299.976532279865,0.434201219828424,0,7078.31124415,-7685.42815200994,-137.424912291875,0,-7389.04464166173,-133.397689140391,0,,,,,0.021532,1.987206,151.172404,49.614934
