Fiscal year,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026
CPI deflator  [MULTIPLIER: nominal x this = base-year 2026$. Do NOT divide.],1.56207553941744,1.53686667645009,1.48983946758899,1.45963309145709,1.43856162296046,1.4155979656664,1.41391967664767,1.39630510776769,1.36717934073107,1.33458246882803,1.31083052683869,1.29485609189718,1.23675314610473,1.14511284618407,1.0998385307612,1.06832882249617,1.04093892397101,1.01330060950762
BEA deflator  [MULTIPLIER: nominal x this = base-year 2026$. Do NOT divide.],1.19852164730729,1.22074564351828,1.20749621506608,1.19075960859477,1.18957159701297,1.17840848965249,1.17634162140615,1.18776413765345,1.1804,1.17538112260647,1.16403368636964,1.1575953711876,1.14438616731461,1.07973619457937,1.04651884425452,1.03250411112277,1.01724420238023,0.990235019329255
REPORTED (nominal $mm),,,,,,,,,,,,,,,,,,
Total assets,41164,40877,40125,40518,41084,40518,39946,42549,42966,44529,44003,51236,70581,71876,76445,76530,96119,105095
Total liabilities,23387,21484,21236,22620,23307,27996,30624,36233,38633,43075,45881,54352,67282,73572,74883,75486,89479,92282
Cash,519,1421,545,1987,2494,1929,1723,2216,2538,3595,1778,2133,7895,2343,2757,3760,1659,1389
Short-term investments,6,6,272,340,459,0,0,0,0,0,0,0,0,0,0,0,0,0
Total debt,11434,9682,9749,10788,10796,14724,17197,24290,23601,27028,29202,37377,43422,46269,50364,52243,62290,65350
Pension (NC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Minority interest,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Reported net PP&E,26234,25550,25060,24448,24069,23348,22720,22191,21914,22075,22375,28365,30667,31167,32572,34038,35294,37225
Reported CSE (common),17777,19393,18889,17898,17777,12522,9322,6316,4333,1454,-1878,-3116,3299,-1696,1562,1044,6640,12813
Shares (mm),1686,1692,1658,1570,1511,1434,1346,1283,1234,1184,1143,1097,1078,1058,1025,1002,993,997
Operating income,4359,4803,5839,6661,7766,9166,10469,11774,13427,14681,15530,15843,18278,23040,24039,21689,21526,20890
D&A (reconciled),0,0,0,0,0,0,0,0,0,2062,2152,2296,2519,2862,2975,3247,3761,4121
Net income (common),2312,2661,3338,3883,4535,5385,6345,7009,7957,8630,11121,11242,12866,16433,17105,15143,14806,14156
Interest expense,624,676,530,606,632,711,830,919,972,1057,1051,1201,1347,1347,1617,1943,2321,2412
