field,value
ticker,HD
run_status,OK
anchor_year,2026
tie_check,PASS
max_identity_tie,3.23552740155719e-10
anchor_earnings_check,PASS
anchor_oi_at0,17540.0574832055
anchor_representativeness,PASS
anchor_margin,0.12684976591390731
anchor_normal_margin,0.14362989622420497
anchor_margin_vs_normal,0.88317104759232
inflation_verdict,NET BENEFICIARY of inflation
rd_capitalization_wired,False
headline_value_ps,313.49485939639726
headline_value_pre_convergence_ps,313.2609666272219
convergence_K,3
convergence_value_ps,0.2848314305777314
convergence_value_idio_adjusted_ps,0.23389276917537777
actual_eps_at_N,28.1556357205983
normalized_eps_at_N,28.19679171344604
convergence_guard,PASS
funding_guard,PASS
funding_reviewed,False
funding_review_note,
funding_min_implied_dps,6.36001979524191
convergence_reviewed,False
convergence_review_note,
convergence_in_four_method_tie,False
cfg_N,10
cfg_N_reviewed,True
payout_seed,0.328201
ppe_life_years,17.45
inputs_on_template_default,0
config_hash,80da59d1ddb736d9
vintage,2026-08-11T18:12Z
