field,value
ticker,JNJ
fiscal_year,2025
rev_cagr_5y,0.02665503872479502
rev_cagr_10y,0.030021220268546367
eps_cagr_5y,0.1489972470344214
eps_cagr_10y,0.07252653575428525
oi_cagr_5y,0.053406022885265525
oi_cagr_10y,0.034184951801906394
roe_reported,0.3287059746885117
rnoa_econ,0.164881381188876
roce_econ,0.0851835503985402
roic_reported,0.16263524666858786
net_profit_margin,0.2845646704107524
asset_turnover,0.472832689122032
equity_multiplier,2.442975571470617
flev_econ,0.499993767932553
nbc_econ,0.0164693643410853
spread_econ,0.148412016847791
