Fiscal year,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
CPI deflator,1.55651802343674,1.56207553941744,1.53686667645009,1.48983946758899,1.45963309145709,1.43856162296046,1.4155979656664,1.41391967664767,1.39630510776769,1.36717934073107,1.33458246882803,1.31083052683869,1.29485609189718,1.23675314610473,1.14511284618407,1.0998385307612,1.06832882249617,1.04093892397101
BEA deflator,1.19073558487673,1.19852164730729,1.22074564351828,1.20749621506608,1.19075960859477,1.18957159701297,1.17840848965249,1.17634162140615,1.18776413765345,1.1804,1.17538112260647,1.16403368636964,1.1575953711876,1.14438616731461,1.07973619457937,1.04651884425452,1.03250411112277,1.01724420238023
REPORTED (nominal $mm),,,,,,,,,,,,,,,,,,
Total assets,84912,94682,102908,113644,121347,132683,130358,133411,141208,157303,152954,157728,174894,182018,187378,167558,180104,199210
Total liabilities,42401,44094,46329,56564,56521,58630,61367,62261,70790,97143,93202,98257,111616,107995,110574,98784,108614,117666
Cash,10768,15810,19355,24542,14911,20927,14523,13732,7187,4288,3397,2864,2102,1901,5368,4814,6123,5993
Short-term investments,2041,3615,8303,7719,6178,8279,18566,24644,22935,472,1580,1982,11200,17121,9392,1068,417,393
Total debt,11852,14541,16773,19627,16165,18180,18760,19861,27126,34581,30480,27696,35266,33751,39642,29332,36634,47933
Pension (NC),7791,0,6769,6087,9082,7784,9972,0,8854,10074,9951,10663,0,10771,8898,7149,7255,6957
Minority interest,0,0,0,0,0,0,-761,0,0,0,0,0,0,0,0,0,0,0
Reported net PP&E,14365,14759,14553,14739,16097,16710,16126,15905,15912,17005,17035,17658,18766,18962,17982,19898,20518,23169
Reported CSE (common),42511,50588,56579,57080,64826,74053,69752,71150,70418,60160,59752,59471,63278,74023,76804,68774,71490,81544
Shares (mm),2835.6,2789.1,2788.8,2775.3,2812.6,2877,2863.9,2812.9,2788.9,2745.3,2728.7,2684.3,2670.7,2674,2663.9,2560.4,2429.4,2429.4
Operating income,16169,16663,16527,16153,17032,18957,21137,18289,20891,18897,21175,20970,19733,20943,21013,21853,22149,25596
D&A (reconciled),0,0,0,0,0,0,0,0,0,5642,6929,7009,7231,7390,6970,7486,7339,7503
Net income (common),12949,12266,13334,9672,10853,13831,16323,15409,16540,1300,15297,15119,14714,20878,17941,35153,14066,26804
