field,value
equity_value,183.0122307439
enterprise_value,183.0122307439
active_value,183.0122307439
mode_tie,0
max_identity_tie,5.38420863449574e-10
tie_relative,4.174123437447652e-15
tie_scale,128990.163208686
audit_status,PASS — all identities tie
tie_check,PASS
adjusted_equity_ps,153.91125678012844
depreciation_anchor_penalty_ps,-3.257961619450217e-05
debt_capital_gain_ps,1.458655113145222
idiosyncratic_haircut_ps,30.559661656532995
headline_value_ps,154.1333080106796
headline_value_pre_convergence_ps,153.91125678012844
convergence_value_ps,0.2762439987892657
convergence_value_idio_adjusted_ps,0.2220512305511655
convergence_K,3
convergence_guard,PASS
convergence_in_four_method_tie,False
