t,phase,df_cumulative,df_equity,annuity_equity,dri_equity,normal_eps,aeg_eps,contrib_eps,cum_contrib_eps,normal_nfe,aeg_nfe,contrib_nfe,normal_oi,aeg_oi,contrib_oi,retention_rate,retained_eps,coe,rore,pi,infl_index,eps_real,dps_real
1,explicit,0.94381844787961,0.93157163257179,13.3666585949005,0.23727108389431,2.16873489124681,0.23727108389431,3.17152157285724,3.17152157,0,0.375358173005878,8.93536999004109,2.16871930553233,0.612644842614663,10.2999624207527,0.031844,0.076617,0.073455,251.46181,0.020729,1.020729,2.357145,2.282083
2,explicit,0.886143772876574,0.860494314158272,12.4350869623287,-0.00750159422731816,2.46250303030129,0.0368993024310278,-0.0932829765728042,3.0782386,0.383442321998204,0.0200546598615397,0.45032244174246,2.84460335566303,0.0582959589290262,0.209185104931837,0.088479,0.221144,0.082601,1.218997,0.021537,1.042713,2.397019,2.184934
3,explicit,0.828123070532874,0.789327267566823,11.5745926481704,0.00193848137842763,2.5708723337825,0.0271558945317962,0.0224371323113637,3.10067573,0.412623567104588,0.0235258265040783,0.45737946115705,2.97905118120601,0.0551264407169589,0.408136967564878,0.055351,0.143804,0.090162,0.44598,0.022619,1.066297,2.436495,2.301632
4,explicit,0.771687411488674,0.721474599792026,10.7852653806036,0.014894225630102,2.66982970766145,-6.30679960771374e-05,0.160638176059237,3.2613139,0.446506041869678,0.0236129547782963,0.420975991730361,3.11332818022318,0.0265574560901669,0.536441835313668,0.030252,0.080766,0.094047,0.498863,0.023746,1.091617,2.445698,2.37171
5,explicit,0.716713879061501,0.656560363048653,10.0637907808116,-0.00662069949376118,2.74164722855697,-0.00959553462693519,-0.0666293345278376,3.19468457,0.481721291996087,0.0224016986428757,0.350948172122726,3.2215780918231,0.014596592745892,0.167700812926414,0.013951,0.038115,0.09887,0.771175,0.024679,1.118558,2.442477,2.408402
6,explicit,0.667817881367851,0.601850259247846,9.40723041776291,0.127192982466181,2.80272784748865,-0.0168308537616628,1.19653369358184,4.39121826,0.516700420781283,0.0191058941268947,0.196730114954627,3.3187541805174,0.00294912811776715,1.74786427679353,0.004451,0.0124,0.090903,1.412706,0.024949,1.146465,2.429989,2.419173
7,explicit,0.621965696740935,0.552089637146184,8.80538015851507,0.0386061644727362,2.85647876182518,-0.0222533523678301,0.3399419546446,4.73116022,0.549225948311742,0.0210947432270041,0.151224425196578,3.40550122070553,-0.000955119709427521,0.562869559502202,-0.000195,-0.000553,0.090131,3.897352,0.025046,1.175179,2.411739,2.41221
8,explicit,0.579429266308035,0.507427153186415,8.25329052136889,0.0488820716685386,2.90418668972076,-0.0232825617719312,0.403437938766824,5.13459816,0.584405787793777,0.0197705118103266,0.0639024979399798,3.48860055554169,-0.00352012798875467,0.59650755475989,0.001306,0.003763,0.088018,-84.404047,0.024697,1.204202,2.392376,2.389251
9,explicit,0.539877850204116,0.467129697911512,7.74586336818247,0.0454996034618922,2.95104040388233,-0.0217680931683009,0.3524337117223,5.48703187,0.618836186905714,0.0196456231294556,0.0478364591255828,3.56982765427176,-0.0020735335225579,0.52168741459703,0.003195,0.009359,0.086266,12.855111,0.024264,1.233421,2.374917,2.367329
10,explicit,0.503160291652943,0.430758254297116,7.27873367027096,0.0504032667542808,2.99950978598895,-0.017718952907436,0.366871954816033,5.85390382,0.653667472633505,0.0181783036227364,0.0386679666251652,3.65306999151817,0.000566617819591109,0.541935269539024,0.005317,0.015854,0.084436,5.611844,0.023784,1.262757,2.361334,2.348779
11,explicit,0.469193046960669,0.397999112516247,6.84797541597384,0.056882740477566,3.05189680554829,-0.0140252900277584,0.389531608383592,6.24343543,0.687430632142814,0.0156996999065556,0.0190288402639345,3.7391702554481,0.00183159212180328,0.567932089983687,0.007931,0.024094,0.08231,3.537391,0.023197,1.292049,2.351204,2.332557
12,explicit,0.437658832693908,0.368306719287059,6.4499763034576,0.0582466576638973,3.10877883056106,-0.0117743402522001,0.375689561687744,6.61912499,0.719220210713862,0.01633984939122,0.0695808907308483,3.82779263926957,0.00477191114437714,0.584535468799698,0.009362,0.028995,0.080619,2.454284,0.022883,1.321615,2.343348,2.321408
13,explicit,0.408360020119103,0.341293079860547,6.08166958417054,0.0644581672519164,3.16895647599722,-0.00581886211685223,0.392013275227357,7.01113827,0.752260431140398,0.0147216169824798,0.0932780661378841,3.92100224427313,0.00911741773012098,0.627512971729238,0.01019,0.032232,0.079151,2.280817,0.022704,1.351622,2.340254,2.316407
14,explicit,0.381102054429986,0.316605420726274,5.74037650430999,0.0679406798242323,3.23669827717072,-0.00253977969413732,0.390005082149871,7.40114335,0.784386603577328,0.0130141737389142,0.121808374095203,4.02087691641499,0.0106823583778342,0.646458907551071,0.010269,0.033211,0.077976,2.203409,0.022692,1.382293,2.339705,2.315679
15,continuing,0.355714054622113,0.293932627540117,0,-2.43855495509537,3.30987515602396,-2.50916151354249,0,7.40114335,0.815624680694704,0.0341161146160273,0,4.12530840408121,-2.47485396628901,0,,,,,0.022854,1.413884,0.566322,0.346081
16,continuing,0.33207917509704,0.27307509318402,0,-2.38351005599213e-15,0.835786644615346,-0.014834191054065,0,7.40114335,0.869344347739735,0.0279659570084778,0,1.7035093133671,0.0147534449423932,0,,,,,0.02307,1.446503,0.567543,0.295252
17,continuing,0.309997521197456,0.253734514583176,0,2.67320887648026e-15,0.860979099363604,-0.00834999351332488,0,7.40114335,0.918329801618285,0.0274719142793811,0,1.77734271239341,0.0210881093545385,0,,,,,0.023425,1.480387,0.57595,0.296851
18,continuing,0.289358067059231,0.235742115378841,0,-2.11115847026377e-15,0.894620411913401,-0.00480082285365924,0,7.40114335,0.968307156118046,0.0256403303378731,0,1.86086419361159,0.0229028819040682,0,,,,,0.023795,1.515613,0.587102,0.301026
19,continuing,0.270054236124582,0.218953374148758,0,-3.04270497686332e-15,0.934091883801793,-0.000650108293510532,0,7.40114335,1.01796950234828,0.02411636627791,0,1.94980852959289,0.025719114541584,0,,,,,0.024168,1.552243,0.60135,0.308122
20,continuing,0.251993980235898,0.203252302390309,0,3.6429192995513e-15,0.980316908113439,0.0042067088795219,0,7.40114335,1.06760920004862,0.0223154309853439,0,2.0453864103986,0.0290618376283267,0,,,,,0.024493,1.590261,0.619096,0.318537
21,continuing,0.235048476043524,0.188446661037237,0,-1.36002320516582e-15,1.03452687693578,0.0234406625787187,0,7.40114335,1.11671451694066,0.0169888764564339,0,2.14814746990606,0.0435234630055228,0,,,,,0.02458,1.629349,0.649319,0.341246
22,continuing,0.219222177270098,0.17461328021946,0,-4.06966127464159e-15,1.11150857569467,0.00907186482173761,0,7.40114335,1.16178945918469,0.0188390201572979,0,2.26976927173581,0.0314396481225923,0,,,,,0.024774,1.669714,0.671121,0.355347
23,continuing,0.204458408664596,0.161704848827963,0,6.12010442324618e-15,1.17742249688913,0.0107195931823618,0,7.40114335,1.20998454134755,0.0172115723576047,0,2.38339044329048,0.031947760486172,0,,,,,0.024865,1.711231,0.69432,0.370651
24,continuing,0.190697648756661,0.149673735085022,0,2.46330733588707e-16,1.24842946224113,0.0124877696623633,0,7.40114335,1.25770016125802,0.0160296357300254,0,2.50157558893097,0.0330714399605734,0,,,,,0.024857,1.753767,0.718977,0.387216
25,continuing,0.177883036129421,0.138475591242947,0,-5.73846525853128e-15,1.32476450391791,0.0143100130663989,0,7.40114335,1.30523361472754,0.0148786068019202,0,2.62486187106631,0.0343248674474586,0,,,,,0.024734,1.797143,0.745113,0.405058
26,continuing,0.165957014107779,0.128064241600329,0,3.98986399474666e-15,1.40657746801693,0.0170814535112216,0,7.40114335,1.35242760113779,0.0138266537089657,0,2.75323862515876,0.0366745512161493,0,,,,,0.024479,1.841136,0.77325,0.424694
27,continuing,0.154883747155316,0.118415033764709,0,-2.82412981889024e-15,1.4947156537359,0.0179034769140538,0,7.40114335,1.39904029614577,0.0109272393420794,0,2.88734350678992,0.0352431593478837,0,,,,,0.023997,1.885318,0.802315,0.445045
28,continuing,0.144608943972651,0.109485799909302,0,8.74300631892311e-16,1.58716220364565,0.0196910118170643,0,7.40114335,1.44291998878462,0.0103304736165943,0,3.02300720325115,0.0370964746127758,0,,,,,0.023371,1.92938,0.832834,0.466632
29,continuing,0.135097066880938,0.101247428914035,0,7.7715611723761e-16,1.68457701798598,0.0215050180452436,0,7.40114335,1.48591047539075,0.00655610639437065,0,3.16274310526295,0.0358055125533943,0,,,,,0.022474,1.97274,0.864829,0.489472
30,continuing,0.126296310128272,0.0936563979266565,0,-1.47104550762833e-15,1.78678984416781,0.0233936135871649,0,7.40114335,1.52444633884151,0.00549797704324107,0,3.30281800600152,0.0373097676382042,0,,,,,0.021427,2.015011,0.898349,0.513608
