field,value,data_as_of
ticker,KO,2026-08-09T09:34Z
company,The Coca-Cola Company,2026-08-09T09:34Z
source,eodhd:Highlights+AnalystRatings,2026-08-09T09:34Z
eodhd_updated_at,2026-08-08,2026-08-09T09:34Z
rating,4.3462,2026-08-09T09:34Z
target_price,94.6957,2026-08-09T09:34Z
wall_street_target_price,94.6957,2026-08-09T09:34Z
strong_buy,14,2026-08-09T09:34Z
buy,8,2026-08-09T09:34Z
hold,3,2026-08-09T09:34Z
sell,1,2026-08-09T09:34Z
strong_sell,0,2026-08-09T09:34Z
analyst_count,26,2026-08-09T09:34Z
eps_est_current_year,3.3015,2026-08-09T09:34Z
eps_est_next_year,3.5264,2026-08-09T09:34Z
eps_est_current_quarter,0.9323,2026-08-09T09:34Z
eps_est_next_quarter,0.8756,2026-08-09T09:34Z
most_recent_quarter,2026-06-30,2026-08-09T09:34Z
eps_ttm,3.33,2026-08-09T09:34Z
pe_ratio,26.1411,2026-08-09T09:34Z
consensus_revenue_current_year,,2026-08-09T09:34Z
consensus_revenue_next_year,,2026-08-09T09:34Z
