t,phase,df_cumulative,df_equity,annuity_equity,dri_equity,normal_eps,aeg_eps,contrib_eps,cum_contrib_eps,normal_nfe,aeg_nfe,contrib_nfe,normal_oi,aeg_oi,contrib_oi,retention_rate,retained_eps,coe,rore,pi,infl_index,eps_real,dps_real
1,explicit,0.957937654266088,0.930501404015075,13.2857398825199,-0.0884480905903473,12.2731683726445,-0.0884480905903473,-1.17509832468891,-1.17509832,0,3.94460418479514,77.9034725309045,12.1398780873728,3.98944637947651,84.3693259399184,-0.021906,-0.266916,0.074689,0.090243,0.020875,1.020875,11.935565,12.197023
2,explicit,0.917818533151106,0.858711223491267,12.3552384785048,0.738242227378416,12.4286347394747,0.376215365972337,9.12115877416292,7.94606045,4.02894401419746,0.188082940037176,3.51664783566355,16.4682262496441,0.553650810037574,18.4679351068071,-0.021823,-0.279438,0.083602,-2.323317,0.021381,1.042702,12.280446,12.54844
3,explicit,0.877346734114609,0.786831636831098,11.4965272550136,0.65782371912717,13.0759142101564,0.280753141919131,7.56268831593989,15.50874877,4.31261756523705,0.389917448004788,5.05035123530905,17.4011689321334,0.658033433183988,17.8762132140601,-0.02193,-0.292917,0.091353,-1.974738,0.022668,1.066338,12.525734,12.800428
4,explicit,0.836902103584534,0.716492021760923,10.7096956181825,0.681406080869426,13.6488166202414,0.279524305028808,7.29765171849018,22.80640048,4.81309293378526,0.386372433689917,4.53004965940215,18.4765101755414,0.651296117204034,17.1616208512221,-0.022063,-0.307298,0.098172,-1.951659,0.02351,1.091408,12.761809,13.04337
5,explicit,0.796888896790054,0.648567665817022,9.99320359642154,0.739836271609348,14.2408698557189,0.309538374232675,7.39333449020964,30.19973497,5.32536904238545,0.382148210478012,4.45498104351204,19.582992198982,0.674933283833031,17.5239642331168,-0.022172,-0.322608,0.10473,-2.02431,0.024215,1.117836,13.016583,13.305184
6,explicit,0.755826075642397,0.590080834732345,9.34463593060452,0.582211060919944,14.8876273916372,0.27674506608553,5.44055039906788,35.64028537,5.84919576238784,0.440477051587586,4.49896177550159,20.7512722029979,0.702773068700324,14.4045577435637,-0.022347,-0.338882,0.099117,-1.903127,0.024823,1.145584,13.237237,13.533053
7,explicit,0.714993678946907,0.536383651109112,8.75455509587217,0.672966632502131,15.5149665508644,0.258718820218158,5.89152346192347,41.53180884,6.44567240677139,0.439718730722491,3.63635237817409,21.975211174661,0.683865333915456,14.4982719281089,-0.022567,-0.355969,0.10011,-1.798011,0.024802,1.173998,13.435873,13.739084
8,explicit,0.67450904847119,0.487849204607853,8.21817144476306,0.646380149178599,16.1321841383508,0.238658276688067,5.31206288444125,46.84387172,7.05354380269978,0.457229884619379,3.15577427349915,23.1997764995125,0.681839602845521,13.1132546573897,-0.022832,-0.373779,0.099487,-1.677554,0.024422,1.202669,13.612096,13.922887
9,explicit,0.63495938347191,0.443884971903771,7.73032224015521,0.702728555478976,16.7331661762588,0.283597078861146,5.43231818121127,52.2761899,7.68989898755678,0.422309407365714,2.85903696455219,24.4368042567448,0.692167393297606,13.1973871285394,-0.023051,-0.39226,0.099044,-1.728083,0.023849,1.231351,13.819584,14.138145
10,explicit,0.596805775667294,0.404173194721125,7.28643726825144,0.771952293791159,17.3819897507468,0.351898018451191,5.62478196279208,57.90097186,8.3003549869005,0.374514283617495,2.69323242888534,25.6958089467234,0.712948092992622,13.5558343548827,-0.023198,-0.411392,0.098254,-1.828185,0.023193,1.25991,14.075519,14.402044
11,explicit,0.55986270781375,0.36891298534663,6.88226407353031,0.780431216489489,18.1085001236284,0.38564775847226,5.37113372310717,63.27210559,8.87276160077615,0.411141236000354,3.15652751246483,26.9934359355828,0.784614783294391,13.7477303557518,-0.023321,-0.431296,0.095579,-1.848018,0.022812,1.288651,14.351553,14.686241
12,explicit,0.524485964184838,0.337163810120806,6.51335108818368,0.862378016600557,18.8769801879681,0.437412913645872,5.61697079285092,68.88907638,9.49162461482737,0.387702838016885,3.06240437041622,28.3801269317269,0.813593622731347,14.2790654928002,-0.023401,-0.45197,0.094165,-1.901814,0.022374,1.317484,14.660058,15.003113
13,continuing,0.490699108090081,0.308547113179188,0,-20.5838843494732,19.7098163499377,-21.0184783283685,0,68.88907638,10.0979131408288,0.402321827677554,0,29.8185279895119,-20.6269549994363,0,,,,,0.022126,1.346634,-0.971802,-0.62017
14,continuing,0.458525158045063,0.282722911889388,0,-1.41206490944512e-15,-1.37034158882924,0.0254072758753532,0,68.88907638,10.7319283331724,0.413612353648597,0,9.37161241843147,0.428993955435685,0,,,,,0.022066,1.376348,-0.977176,-0.616753
15,continuing,0.428017734262827,0.259391830235277,0,-3.13638004456607e-15,-1.40838055335478,0.0301062885382815,0,68.88907638,11.3927417506433,0.408699707217604,0,9.99362239296444,0.429544800079958,0,,,,,0.022179,1.406875,-0.979671,-0.610238
16,continuing,0.39918466238016,0.238359527489571,0,2.66453525910038e-15,-1.44340355553463,0.0413482075887155,0,68.88907638,12.0663030022677,0.402152843243828,0,10.6312194469192,0.435181050646451,0,,,,,0.022443,1.43845,-0.974699,-0.59603
17,continuing,0.372058083810051,0.219280568032651,0,1.06165076729781e-15,-1.46900670611338,0.0353904201921427,0,68.88907638,12.7528988944684,0.393563517503241,0,11.2915710646865,0.421275061363961,0,,,,,0.022813,1.471265,-0.974411,-0.586275
18,continuing,0.346619934485475,0.201957319604849,0,2.92821322744885e-15,-1.50264779190695,0.0385413013291556,0,68.88907638,13.4520260802514,0.382741959001141,0,11.9564522363359,0.414209312338793,0,,,,,0.023243,1.505462,-0.97253,-0.574691
19,continuing,0.322826229877265,0.186213925290057,0,-5.48172618408671e-15,-1.53525645213991,0.0413950810615404,0,68.88907638,14.162793729537,0.37517854997521,0,12.6340298695571,0.410081038876712,0,,,,,0.02371,1.541157,-0.969312,-0.561527
20,continuing,0.300639206160312,0.17190845722723,0,-8.04911692853239e-16,-1.56702091675422,0.0439646354512919,0,68.88907638,14.8884325151032,0.353008332692776,0,13.3273292530414,0.391055313451652,0,,,,,0.024107,1.578309,-0.964993,-0.547013
21,continuing,0.280095328696952,0.159082209605207,0,6.64746035994313e-15,-1.59704258195389,0.0678163638468579,0,68.88907638,15.6085838851367,0.232914768251112,0,14.0163442654985,0.295928169782313,0,,,,,0.024088,1.616328,-0.946112,-0.517683
22,continuing,0.261088011772719,0.147216114804672,0,-3.4035274598665e-15,-1.60542617013867,0.00860252355526026,0,68.88907638,16.2274087811,0.299140858792285,0,14.6273859160094,0.302340077299396,0,,,,,0.024361,1.655702,-0.964439,-0.525299
23,continuing,0.243526220252739,0.136248212962072,0,-6.09234884763055e-15,-1.67667853080765,0.00787056631029182,0,68.88907638,16.9317613363253,0.280316890984068,0,15.2611792925124,0.282090970299603,0,,,,,0.024519,1.696298,-0.983794,-0.533676
24,continuing,0.227307718455627,0.126116468629897,0,3.27515792264421e-15,-1.75240542556943,0.00716923786857926,0,68.88907638,17.6352689477373,0.272023370776587,0,15.8897246368641,0.272331493948942,0,,,,,0.024587,1.738005,-1.004161,-0.542789
25,continuing,0.212338385176011,0.11676694172808,0,-1.99146255042137e-15,-1.83257648656573,0.00641012725092405,0,68.88907638,18.346445457622,0.257830602206337,0,16.5215447837419,0.256564916771637,0,,,,,0.024524,1.780627,-1.025575,-0.552669
26,continuing,0.198545030546244,0.108106467516509,0,1.25593979660721e-15,-1.91752222474216,-0.00990072632321937,0,68.88907638,19.0560513548896,0.235993479846801,0,17.1474874160795,0.217134467591443,0,,,,,0.024283,1.823867,-1.056778,-0.57205
27,continuing,0.18581810044217,0.100124496302215,0,5.27355936696949e-15,-2.02286223604047,0.000361704930171847,0,68.88907638,19.7535710704639,0.236163585370221,0,17.7406362766501,0.226597848073748,0,,,,,0.023923,1.8675,-1.082999,-0.586153
