field,value,data_as_of
ticker,MCD,req-2026-08-03T18:43:41Z
company,McDonald’s Corporation,req-2026-08-03T18:43:41Z
source,eodhd:Highlights+AnalystRatings,req-2026-08-03T18:43:41Z
eodhd_updated_at,2026-08-02,req-2026-08-03T18:43:41Z
rating,3.9118,req-2026-08-03T18:43:41Z
target_price,323.5807,req-2026-08-03T18:43:41Z
wall_street_target_price,323.5807,req-2026-08-03T18:43:41Z
strong_buy,14,req-2026-08-03T18:43:41Z
buy,5,req-2026-08-03T18:43:41Z
hold,14,req-2026-08-03T18:43:41Z
sell,0,req-2026-08-03T18:43:41Z
strong_sell,1,req-2026-08-03T18:43:41Z
analyst_count,34,req-2026-08-03T18:43:41Z
eps_est_current_year,12.9106,req-2026-08-03T18:43:41Z
eps_est_next_year,14.1144,req-2026-08-03T18:43:41Z
eps_est_current_quarter,2.7446,req-2026-08-03T18:43:41Z
eps_est_next_quarter,3.418,req-2026-08-03T18:43:41Z
most_recent_quarter,2026-03-31,req-2026-08-03T18:43:41Z
eps_ttm,12.12,req-2026-08-03T18:43:41Z
pe_ratio,22.33,req-2026-08-03T18:43:41Z
consensus_revenue_current_year,,req-2026-08-03T18:43:41Z
consensus_revenue_next_year,,req-2026-08-03T18:43:41Z
