Fiscal year,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
CPI deflator,1.55651802343674,1.56207553941744,1.53686667645009,1.48983946758899,1.45963309145709,1.43856162296046,1.4155979656664,1.41391967664767,1.39630510776769,1.36717934073107,1.33458246882803,1.31083052683869,1.29485609189718,1.23675314610473,1.14511284618407,1.0998385307612,1.06832882249617,1.04093892397101
BEA deflator,1.19073558487673,1.19852164730729,1.22074564351828,1.20749621506608,1.19075960859477,1.18957159701297,1.17840848965249,1.17634162140615,1.18776413765345,1.1804,1.17538112260647,1.16403368636964,1.1575953711876,1.14438616731461,1.07973619457937,1.04651884425452,1.03250411112277,1.01724420238023
REPORTED (nominal $mm),,,,,,,,,,,,,,,,,,
Total assets,28461.5,30224.9,31975.2,32989.9,35386.5,36626.3,34281.4,37938.7,31023.9,33803.7,32811.2,47510.8,52626.8,53854.3,50435.6,56147,55182,59515
Total liabilities,15078.9,16191,17341,18599.7,20092.9,20616.6,21428,30850.8,33228.2,37071.7,39069.6,55721.1,60451.7,58455.3,56439,60854,58979,61306
Cash,2063.4,1796,2387,2335.7,2336.1,2798.7,2077.9,7685.5,1223.4,2463.8,866,898.5,3449.1,4709.2,2583.8,4579.3,1085,774
Short-term investments,0,0,0,0,0,0,0,0,144.4,0,171.6,14,1297,0.3,0,4.3,0,0
Total debt,10217.8,10578.4,11505.3,12500.4,13632.5,14129.8,29932.9,48247.6,25955.7,29536.7,31703.1,47556,51463.2,49349.1,48699,53091,51948,54814
Pension (NC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Minority interest,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0
Reported net PP&E,20254.5,21531.5,22060.6,22834.5,24677.2,25747.3,24557.5,23117.6,21257.6,22448.3,22842.7,37421.2,38785.9,38272.6,36339.3,38421,38634,42847
Reported CSE (common),13382.6,14033.9,14634.2,14390.2,15293.6,16009.7,12853.4,7087.9,-2204.3,-3268,-6258.4,-8210.3,-7824.9,-4601,-6003.4,-4706,-3796,-1791
Shares (mm),1146,1107.4,1080.3,1044.9,1020.2,1006,986.3,944.6,861.2,815.5,785.6,764.9,750.1,751.8,741.3,732.3,721.9,716.4
