t,phase,df_cumulative,df_equity,annuity_equity,dri_equity,normal_eps,aeg_eps,contrib_eps,cum_contrib_eps,normal_nfe,aeg_nfe,contrib_nfe,normal_oi,aeg_oi,contrib_oi,retention_rate,retained_eps,coe,rore,pi,infl_index,eps_real,dps_real
1,explicit,0.941513793152732,0.930501404015075,15.3403215774463,0.169845400865061,9.08452138850009,0.169845400865061,2.60548306772031,2.60548307,0,0.677847448213947,16.7090671141754,9.01903321215178,0.913181025427315,16.8440405529414,0.053338,0.493614,0.074689,0.120971,0.020875,1.020875,9.065132,8.581612
2,explicit,0.881840658236506,0.858711223491267,14.4098201734313,0.27479535801439,9.48294822707313,0.264642150459546,3.95975169348102,6.56523476,0.692340547005336,0.0332379258226491,0.78242736487217,10.167423826388,0.305745023972692,5.52570244491224,0.053015,0.516772,0.083602,0.999209,0.021381,1.042702,9.348392,8.852783
3,explicit,0.821684977674376,0.786831636831098,13.55110894994,0.318087157105513,10.0040412614172,0.257676700740511,4.31043372151349,10.87566848,0.742025721162071,0.0607360218332665,1.13178291683376,10.7366911604469,0.327788544706145,6.26900336332187,0.052788,0.541698,0.091353,0.994883,0.022668,1.066338,9.623325,9.115326
4,explicit,0.76217197665371,0.716492021760923,12.7642773131089,0.338642808853786,10.5434180905662,0.259873758239499,4.32253072229985,15.19819921,0.821634897314755,0.059404333824052,1.01618735926304,11.3541709199879,0.330160159956632,6.25556976835792,0.052604,0.568295,0.098172,0.99977,0.02351,1.091408,9.89849,9.377792
5,explicit,0.703913699936634,0.648567665817022,12.047785291348,0.352159179946964,11.1106469761279,0.262597156016453,4.2427381883782,19.44093739,0.902373362458227,0.061518839645672,1.00919153135465,12.0005369432945,0.336599390953667,6.20363036386575,0.052457,0.596607,0.10473,1.002917,0.024215,1.117836,10.174339,9.640623
6,explicit,0.651415485319613,0.590080834732345,11.3992176255309,0.660205546203323,11.6998878210622,0.274839929671991,7.52582669875421,26.96676409,0.987819034820477,0.0717130219003715,1.02737429294651,12.6766543141858,0.357605493269322,10.3478755816719,0.052335,0.626702,0.099117,1.008174,0.024823,1.145584,10.452942,9.905883
7,continuing,0.601992185973205,0.536383651109112,0,-10.1574421831271,12.3189260734779,-10.3839240870547,0,26.96676409,1.08581109766483,0.0712540153317474,0,13.3934502076166,-10.3013831081968,0,,,,,0.024802,1.173998,1.648216,1.087481
8,continuing,0.556043087664436,0.487849204607853,0,7.40379979546901e-15,2.03167334516529,-0.00564183607092206,0,26.96676409,1.18532256107497,0.073761049505277,0,3.20590304240111,0.0792120772735037,0,,,,,0.024422,1.202669,1.684613,1.109859
9,continuing,0.513367885104336,0.443884971903771,0,-1.93595139919012e-15,2.12632830863016,0.00475913290402152,0,26.96676409,1.28911163953687,0.0708719176767398,0,3.40443799822231,0.0866330005254876,0,,,,,0.023849,1.231351,1.73069,1.141567
10,continuing,0.473916436725385,0.404173194721125,0,2.62290189567693e-15,2.2349645663701,-0.00248273710139024,0,26.96676409,1.39152567977496,0.065817386009325,0,3.6156026230765,0.0742222719764945,0,,,,,0.023193,1.25991,1.771937,1.168087
11,continuing,0.437872945240599,0.36891298534663,0,-3.34454686168328e-15,2.33877012061144,-0.0689853637243738,0,26.96676409,1.4905881794892,0.0717645357555852,0,3.81926730187596,0.0128701702558915,0,,,,,0.022812,1.288651,1.761365,1.142417
12,continuing,0.404704818129941,0.337163810120806,0,4.66987559732957e-15,2.37783085869986,-0.0301288637529682,0,26.96676409,1.59730942360968,0.0669609711968786,0,3.9654022296828,0.0465701600706558,0,,,,,0.022374,1.317484,1.781958,1.147538
13,continuing,0.374189303661874,0.308547113179188,0,-8.93729534823251e-15,2.45867406402113,-0.0385326548903593,0,26.96676409,1.70109331529154,0.0681234843939915,0,4.1504096594582,0.0389485493581008,0,,,,,0.022126,1.346634,1.797178,1.146897
14,continuing,0.346118217845726,0.282722911889388,0,9.5062846483529e-16,2.53420705914941,-0.0469863123194623,0,26.96676409,1.8082555254257,0.0687014262190073,0,4.3334968816804,0.0306808167942476,0,,,,,0.022066,1.376348,1.807116,1.140577
15,continuing,0.320305809863543,0.259391830235277,0,6.06459327201492e-15,2.60455347000724,-0.0556763142565679,0,26.96676409,1.91858667318381,0.0675649567905254,0,4.51455470362565,0.0204740820993674,0,,,,,0.022179,1.406875,1.81173,1.128528
16,continuing,0.296628719205897,0.238359527489571,0,-4.35762537165374e-15,2.66932238607918,-0.0764662770280662,0,26.96676409,2.03072713289231,0.066187488703398,0,4.69195917706832,-0.00218844642149829,0,,,,,0.022443,1.43845,1.802535,1.102253
