field,value,data_as_of
ticker,MRK,2026-08-02T08:32Z
company,Merck & Company Inc,2026-08-02T08:32Z
source,eodhd:Highlights+AnalystRatings,2026-08-02T08:32Z
eodhd_updated_at,2026-08-02,2026-08-02T08:32Z
rating,4.0385,2026-08-02T08:32Z
target_price,135.1923,2026-08-02T08:32Z
wall_street_target_price,135.1923,2026-08-02T08:32Z
strong_buy,12,2026-08-02T08:32Z
buy,3,2026-08-02T08:32Z
hold,11,2026-08-02T08:32Z
sell,0,2026-08-02T08:32Z
strong_sell,0,2026-08-02T08:32Z
analyst_count,26,2026-08-02T08:32Z
eps_est_current_year,2.7572,2026-08-02T08:32Z
eps_est_next_year,9.6785,2026-08-02T08:32Z
eps_est_current_quarter,-1.4738,2026-08-02T08:32Z
eps_est_next_quarter,2.0901,2026-08-02T08:32Z
most_recent_quarter,2026-03-31,2026-08-02T08:32Z
eps_ttm,3.55,2026-08-02T08:32Z
pe_ratio,36.6761,2026-08-02T08:32Z
consensus_revenue_current_year,,2026-08-02T08:32Z
consensus_revenue_next_year,,2026-08-02T08:32Z
