field,value
equity_value,136.898444947142
enterprise_value,136.898444947142
active_value,136.898444947142
mode_tie,0
max_identity_tie,1.25146470963955e-09
tie_relative,1.4128870557601469e-14
tie_scale,88575
audit_status,PASS — all identities tie
tie_check,PASS
adjusted_equity_ps,89.45864962261425
depreciation_anchor_penalty_ps,-0.08913981876780247
debt_capital_gain_ps,2.4241000558436383
idiosyncratic_haircut_ps,49.953035199139194
headline_value_ps,93.79063974624141
headline_value_pre_convergence_ps,89.45864962261425
convergence_value_ps,4.4115229254328305
convergence_value_idio_adjusted_ps,4.3319901236271665
convergence_K,3
convergence_guard,PASS
convergence_in_four_method_tie,False
