Fiscal year,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026
CPI deflator  [MULTIPLIER: nominal x this = base-year 2026$. Do NOT divide.],1.56207553941744,1.53686667645009,1.48983946758899,1.45963309145709,1.43856162296046,1.4155979656664,1.41391967664767,1.39630510776769,1.36717934073107,1.33458246882803,1.31083052683869,1.29485609189718,1.23675314610473,1.14511284618407,1.0998385307612,1.06832882249617,1.04093892397101,1.01190460140385
BEA deflator  [MULTIPLIER: nominal x this = base-year 2026$. Do NOT divide.],1.19852164730729,1.22074564351828,1.20749621506608,1.19075960859477,1.18957159701297,1.17840848965249,1.17634162140615,1.18776413765345,1.1804,1.17538112260647,1.16403368636964,1.1575953711876,1.14438616731461,1.07973619457937,1.04651884425452,1.03250411112277,1.01724420238023,0.988870788725905
REPORTED (nominal $mm),,,,,,,,,,,,,,,,,,
Total assets,77888,86113,108704,121271,142431,172384,174472,193694,241086,258848,286556,301311,333779,364840,411976,512163,619003,758376
Total liabilities,38330,39938,51621,54908,63487,82600,94389,121697,168692,176130,184226,183007,191791,198298,205753,243686,275524,315989
Cash,6076,5505,9610,6938,3804,8669,5595,6510,7663,11946,11356,13576,14224,13931,34704,18315,30242,20935
Short-term investments,25371,31283,43162,56102,73218,77040,90931,106730,125318,121822,122463,122951,116110,90826,76558,57216,64313,55908
Total debt,5756,5939,17284,11944,15600,22645,35292,53687,86194,81808,78366,70998,67775,61270,59965,67127,60588,128808.3
Pension (NC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Minority interest,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Reported net PP&E,7535,7630,8162,8269,9991,13011,14731,18356,23734,29460,36477,44151,70803,87546,109987,154552,229789,337253
Reported CSE (common),39558,46175,57083,66363,78944,89784,80083,71997,72394,82718,102330,118304,141988,166542,206223,268477,343479,442387
Shares (mm),8996,8927,8593,8506,8470,8399,8254,8013,7832,7794,7753,7683,7608,7540,7472,7469,7465,7453
Operating income,20363,24098,27161,21763,26764,27759,18161,26078,29025,35058,42959,52959,69916,83383,88523,109433,128528,155237
D&A (reconciled),0,0,0,0,0,0,0,0,8778,10261,11682,12796,11686,14460,13861,22287,34153,38534
Net income (common),14569,18760,23150,16978,21863,22074,12193,16798,25489,16571,39240,44281,61271,72738,72361,88136,101832,133749
Interest expense,38,151,295,380,429,597,781,1243,2222,2733,2686,2591,2346,2063,1968,2935,2385,3051
Tax rate,0.264971,0.24999,0.175305,0.237526,0.191816,0.206542,0.341168,0.198916,0.147554,0.545676,0.101813,0.165077,0.138266,0.131134,0.189786,0.182313,0.176296,0.193963
OCI,969,-8629,1863,1422,1743,3708,2522,1537,431,-2187,-340,3186,1822,-4678,-6343,-5590,-3347,-3284
Dividends paid,-4468,-4578,-5180,-6385,-7455,-8879,-9882,-11006,-11845,-12699,-13811,-15137,-16521,-18135,-19800,-21771,-24082,-26445
Repurchases,-9353,-11269,-11555,-5029,-5360,-7316,-14443,-15969,-11788,-10721,-19543,-22968,-27385,-32696,-22245,-17254,-18420,-22271
PARTITION (nominal),,,,,,,,,,,,,,,,,,
Financial obligations,5756,5939,17284,11944,15600,22645,35292,53687,86194,81808,78366,70998,67775,61270,59965,67127,60588,128808.3
Financial assets,31447,36788,52772,63040,77022,85709,96526,113240,132981,133768,133819,136527,130334,104757,111262,75531,94555,76843
