t,phase,df_cumulative,df_equity,annuity_equity,dri_equity,normal_eps,aeg_eps,contrib_eps,cum_contrib_eps,normal_nfe,aeg_nfe,contrib_nfe,normal_oi,aeg_oi,contrib_oi,retention_rate,retained_eps,coe,rore,pi,infl_index,eps_real,dps_real
1,explicit,0.928671663548562,0.930501404015075,14.4918691851105,0.144214245810124,2.06866843641572,0.144214245810124,2.08993398490968,2.08993398,0,-0.0372455675415314,-0.781418248361076,2.07023735015492,0.105399764529388,1.48730521444081,0.116295,0.257347,0.074689,0.304438,0.020875,1.020875,2.167633,1.915548
2,explicit,0.854857755333025,0.858711223491267,13.5613677810954,0.0683423334413817,2.27620891425758,0.118894373156222,0.926815518816831,3.0167495,-0.038041917356439,-0.00177590843551981,-0.0353791288482789,2.23887320489805,0.116412256723799,0.868318607451277,0.112488,0.269421,0.083602,0.708073,0.021381,1.042702,2.297015,2.038628
3,explicit,0.781074189598984,0.786831636831098,12.7026565576041,0.0844089106599039,2.46790023143645,0.113818284303846,1.07221740251425,4.08896691,-0.0407204072403461,-0.00368166131883727,-0.050967714935507,2.4280179988403,0.109298448340811,0.997355543738847,0.109391,0.282416,0.091353,0.692653,0.022668,1.066338,2.421107,2.15626
4,explicit,0.709035335397102,0.716492021760923,11.915824920773,0.0866228081724998,2.66350118777804,0.110638916844897,1.03218221632921,5.12114912,-0.0454459736771477,-0.00364818874112995,-0.0458663748371401,2.61902361791157,0.106022324293086,0.959991180174912,0.106801,0.296282,0.098172,0.68134,0.02351,1.091408,2.541799,2.270331
5,explicit,0.639646363530198,0.648567665817022,11.1993328990121,0.0870917532865594,2.86517035785067,0.109608646392328,0.975369537814811,6.09651866,-0.0502829645408513,-0.00360830296715138,-0.0452601581214917,2.81599857617249,0.10488916056251,0.903672414436858,0.10456,0.311043,0.10473,0.677188,0.024215,1.117836,2.661194,2.382939
6,explicit,0.580337218166186,0.590080834732345,10.5507652331951,0.240806559641372,3.07173084720357,0.113239847780585,2.5406934773895,8.63721214,-0.0552290180777592,-0.00415905297637665,-0.045869084544258,3.01746017970506,0.108122444224961,2.41784307379238,0.102586,0.326733,0.099117,0.675764,0.024823,1.145584,2.780215,2.495004
7,explicit,0.526112016181242,0.536383651109112,9.96068439846273,0.156843430903222,3.28857127830144,0.114614687304494,1.56226791519909,10.19948005,-0.0608610435243092,-0.00415189279257217,-0.0372106018503691,3.22867675462583,0.109496274663224,1.47667055625643,0.100849,0.343208,0.10011,0.66787,0.024802,1.173998,2.898801,2.60646
8,explicit,0.477328339015567,0.487849204607853,9.42430074735362,0.175762574440952,3.51206028990355,0.114346789327776,1.65643936166066,11.85591941,-0.0666006599909969,-0.00431723583705577,-0.0324153773798165,3.44639141747621,0.10909776592706,1.57010967458172,0.099376,0.360379,0.099487,0.650396,0.024422,1.202669,3.0153,2.71565
9,continuing,0.433315283948902,0.443884971903771,0,-2.57012892966235,3.73999244213935,-2.62894303880624,0,11.85591941,-0.0726092248323959,-0.00398751124792021,0,3.66829447919637,-2.63384181194356,0,,,,,0.023849,1.231351,0.902301,0.59516
10,continuing,0.39370264466511,0.404173194721125,0,8.91647866652079e-16,1.16520608189992,-0.00129438310290442,0,11.85591941,-0.0783732455273824,-0.00353622223986667,0,1.08772586625924,-0.00572363522947561,0,,,,,0.023193,1.25991,0.923805,0.608986
11,continuing,0.358689390487882,0.36891298534663,0,-2.03309591384482e-15,1.21932544690329,-0.0359657448638082,0,11.85591941,-0.0837779979941833,-0.00388205963315308,0,1.13635491813124,-0.040655273719088,0,,,,,0.022812,1.288651,0.918293,0.595603
12,continuing,0.327270378920298,0.337163810120806,0,2.94902990916057e-15,1.23968989037993,-0.0157077815970519,0,11.85591941,-0.0896213990324037,-0.00366075062614961,0,1.1508327104291,-0.0201327513047744,0,,,,,0.022374,1.317484,0.92903,0.598273
13,continuing,0.299043595702585,0.308547113179188,0,-5.00641195166907e-15,1.28183775971891,-0.0200891255752298,0,11.85591941,-0.0953460697945261,-0.0037987854051255,0,1.18720791336215,-0.0246041344181118,0,,,,,0.022126,1.346634,0.936965,0.597938
14,continuing,0.273649585892951,0.282722911889388,0,7.14706072102445e-16,1.32121713361679,-0.0244964675075836,0,11.85591941,-0.101332540061889,-0.0039053923111504,0,1.22054955846629,-0.0290668247301225,0,,,,,0.022066,1.376348,0.942146,0.594644
15,continuing,0.250771771884216,0.259391830235277,0,2.55698240358981e-15,1.35789246485236,-0.0290270284217036,0,11.85591941,-0.107572043347829,-0.00385900633783559,0,1.25093468146428,-0.0335002947192957,0,,,,,0.022179,1.406875,0.944551,0.588362
16,continuing,0.230205459938935,0.238359527489571,0,-1.48492329543615e-15,1.39165995095065,-0.0398659434668596,0,11.85591941,-0.113931913670797,-0.00379718982776338,0,1.27827987131493,-0.0442149673297001,0,,,,,0.022443,1.43845,0.939758,0.574663
17,continuing,0.211590398718961,0.219280568032651,0,-3.37924133120282e-15,1.41634527138095,-0.0341217327890544,0,11.85591941,-0.120414859101741,-0.00371608807533898,0,1.29643972300229,-0.0383471315874764,0,,,,,0.022813,1.471265,0.93948,0.565258
18,continuing,0.194721849128539,0.201957319604849,0,-5.89805981832114e-16,1.44878038048532,-0.037159660104507,0,11.85591941,-0.127016126959888,-0.00361390923325189,0,1.32223344164764,-0.0412427574599661,0,,,,,0.023243,1.505462,0.937666,0.554089
19,continuing,0.179419121262246,0.186213925290057,0,5.01682029252493e-15,1.48022007475958,-0.0399111366040417,0,11.85591941,-0.133727305888777,-0.00354249434635257,0,1.34692339786715,-0.0438842599467459,0,,,,,0.02371,1.541157,0.934564,0.541397
20,continuing,0.165536658945438,0.17190845722723,0,6.38378239159465e-16,1.51084583641688,-0.0423885767643453,0,11.85591941,-0.140578900404327,-0.00333315969919426,0,1.37065943158877,-0.0461142320397496,0,,,,,0.024107,1.578309,0.930399,0.527404
21,continuing,0.153114852116865,0.159082209605207,0,-5.44009282066327e-15,1.53979127510521,-0.0653852605689416,0,11.85591941,-0.147378681887118,-0.00219921754526234,0,1.39273115547959,-0.0679030403757053,0,,,,,0.024088,1.616328,0.912195,0.499124
22,continuing,0.141623518890427,0.147216114804672,0,1.50920942409982e-15,1.54787432566808,-0.00829413746631214,0,11.85591941,-0.153221723008411,-0.00282453461453155,0,1.39501098337611,-0.0114770527972836,0,,,,,0.024361,1.655702,0.929865,0.506468
23,continuing,0.131002342804161,0.136248212962072,0,6.53990750443256e-15,1.6165724083169,-0.00758841966498869,0,11.85591941,-0.159872329619289,-0.00264679577647442,0,1.4571044355417,-0.0106395722855572,0,,,,,0.024519,1.696298,0.948527,0.514544
