field,value,data_as_of
ticker,NKE,2026-08-09T09:44Z
company,Nike Inc,2026-08-09T09:44Z
source,eodhd:Highlights+AnalystRatings,2026-08-09T09:44Z
eodhd_updated_at,2026-08-08,2026-08-09T09:44Z
rating,3.7105,2026-08-09T09:44Z
target_price,50.6647,2026-08-09T09:44Z
wall_street_target_price,50.6647,2026-08-09T09:44Z
strong_buy,14,2026-08-09T09:44Z
buy,2,2026-08-09T09:44Z
hold,20,2026-08-09T09:44Z
sell,1,2026-08-09T09:44Z
strong_sell,1,2026-08-09T09:44Z
analyst_count,38,2026-08-09T09:44Z
eps_est_current_year,1.5095,2026-08-09T09:44Z
eps_est_next_year,1.8307,2026-08-09T09:44Z
eps_est_current_quarter,0.4471,2026-08-09T09:44Z
eps_est_next_quarter,0,2026-08-09T09:44Z
most_recent_quarter,2026-05-31,2026-08-09T09:44Z
eps_ttm,2.1,2026-08-09T09:44Z
pe_ratio,19.8571,2026-08-09T09:44Z
consensus_revenue_current_year,,2026-08-09T09:44Z
consensus_revenue_next_year,,2026-08-09T09:44Z
