Fiscal year,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
CPI deflator,1.55651802343674,1.56207553941744,1.53686667645009,1.48983946758899,1.45963309145709,1.43856162296046,1.4155979656664,1.41391967664767,1.39630510776769,1.36717934073107,1.33458246882803,1.31083052683869,1.29485609189718,1.23675314610473,1.14511284618407,1.0998385307612,1.06832882249617,1.04093892397101
BEA deflator,1.19073558487673,1.19852164730729,1.22074564351828,1.20749621506608,1.19075960859477,1.18957159701297,1.17840848965249,1.17634162140615,1.18776413765345,1.1804,1.17538112260647,1.16403368636964,1.1575953711876,1.14438616731461,1.07973619457937,1.04651884425452,1.03250411112277,1.01724420238023
REPORTED (nominal $mm),,,,,,,,,,,,,,,,,,
Total assets,35994,39848,68153,72882,74638,77478,70509,69667,73490,79804,77648,78547,92918,92377,92187,100495,99467,107399
Total liabilities,23412,22406,46677,51983,52239,53089,52961,57637,62291,68823,63046,63679,79366,76226,74914,81858,81296,86852
Cash,2064,3943,5943,4067,6297,9375,6134,9096,9158,10610,8721,5509,8185,5596,4954,9711,8505,9159
Short-term investments,213,192,426,358,322,303,2592,2913,6967,8900,272,229,1366,392,394,292,761,371
Total debt,8227,7864,24897,26773,28359,29639,28897,33284,36945,39281,32321,32510,44610,40780,39554,44661,44948,49901
Pension (NC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Minority interest,476,638,312,311,105,110,110,107,104,92,84,82,98,108,124,134,130,141
Reported net PP&E,11663,12671,19058,19698,19136,18575,17244,16317,16591,17240,17589,19305,21369,24427,24291,29944,31391,33650
Reported CSE (common),12106,16804,21164,20588,22294,24279,17438,11923,11095,10889,14518,14786,13454,16043,17149,18503,18041,20406
Shares (mm),1602,1577,1614,1597,1575,1560,1527,1485,1452,1438,1425,1407,1392,1389,1387,1383,1378,1373
Operating income,6959,8044,8332,9633,9112,9705,9581,8353,9804,10276,10110,10291,10080,11162,11512,11986,12887,13491
D&A (reconciled),0,0,0,0,0,0,0,0,0,2369,2399,2432,2548,3215,3280,3437,3815,4178
Net income (common),5140,5946,6320,6443,6178,6740,6513,5452,6329,4857,12515,7314,7120,7618,8910,9074,9578,8240
Interest expense,329,397,903,856,899,911,909,970,1342,1151,1219,935,1128,1863,939,819,919,1121
