year,real_revenue,real_gross_profit,real_sga,real_gross_ppe_series,real_net_ppe_series
2008,67320.9610316624,35644.2627367013,24183.6205301366,44643.4392911529,23536.3480007546
2009,67531.6497200949,36135.4934533437,22825.0477819677,45355.5634205076,23606.6109944938
2010,88889.2948325201,48047.062905859,34312.0854184246,47366.1475626453,25057.9430494973
2011,99080.2839525382,52011.7856529993,37462.0134125252,48896.313656449,26458.3202692337
2012,95594.290425708,49920.9113609241,36016.4465317038,49305.7371378659,26973.5799771572
2013,95542.070188919,50597.0894027653,30618.3455830904,50021.1761326806,27559.2249720381
2014,94396.3191445323,50175.8698930454,30275.3936917072,51356.3428977989,28149.3406143612
2015,89156.1191306953,48532.7929009312,14509.6437217584,52710.9488566191,28540.5606452106
2016,87686.5644627032,48280.0417112834,13521.8186636223,48746.815230122,29222.9775760871
2017,86850.0676199412,47480.7713242493,12805.0017052872,50258.0346600262,30019.4287744137
2018,86295.4370168892,47084.0695002529,12714.5671805246,52382.2230982382,31084.91658214
2019,88036.6890130135,48538.74357831,13303.6190168859,55604.0693984472,33100.9836373986
2020,91121.6128989881,49949.0737449336,13586.9249722771,58652.7545931643,34920.0730446537
2021,98289.7195335277,52437.0966416947,13621.5991511975,62191.5545813763,36954.3727021968
2022,98928.5890075345,52464.4901607695,16328.1640737387,66022.6734484656,39121.4727017396
2023,100603.330247258,54540.992740448,40338.7777927286,69612.277632171,41228.2373816435
2024,98130.2756615629,53533.9572952829,39731.1489086324,72562.1031208583,42851.7454872516
2025,97770.1884339775,52941.1127342418,38897.8057109488,74114.9627471547,43311.6506896015
