field,value
ticker,PEP
run_status,OK
anchor_year,2025
tie_check,PASS
max_identity_tie,4.22915036324412e-10
anchor_earnings_check,PASS
anchor_oi_at0,11293.2355965138
anchor_representativeness,PASS
anchor_margin,0.143635879691243
anchor_normal_margin,0.14184361835179532
anchor_margin_vs_normal,1.0126354739132681
inflation_verdict,NET BENEFICIARY of inflation
rd_capitalization_wired,False
cfg_N,12
cfg_N_reviewed,True
payout_seed,0.937106
ppe_life_years,15.87
inputs_on_template_default,0
config_hash,a253b27cde209dcd
vintage,2026-08-09T04:46Z
