field,value
intrinsic_value_ps,115.75945974197555
current_price_real_ps,146.376831488804
equity_enterprise_tie,0
normal_no_growth_value_ps,108.175516482272
pvgo_ps,38.2013150065316
implied_real_eps_growth,0.00322094022184338
growth_premium_turns,-3.2848116947107
economic_rnoa,0.166591549870957
real_coe_longrun,0.0552786640599362
economic_noa,67789.9665695023
normal_no_growth_value_adj_ps,108.05876939975613
intrinsic_value_pre_convergence_ps,115.75945974197555
convergence_value_ps,0.0
convergence_value_idio_adjusted_ps,
convergence_K,3
actual_eps_at_N,9.32582527908649
normalized_eps_at_N,9.293821295583333
convergence_guard,PASS
convergence_in_four_method_tie,False
upside_downside,-0.20916815479210782
