field,value
ticker,PG
fiscal_year,2026
rev_cagr_5y,0.02716052126592894
rev_cagr_10y,0.02914659935034547
eps_cagr_5y,0.03787495692734688
eps_cagr_10y,0.06012571128874811
oi_cagr_5y,0.01886749208896199
oi_cagr_10y,0.03922396626155633
roe_reported,0.2954465946125094
rnoa_econ,0.170105891943095
roce_econ,0.0302745489557843
roic_reported,0.17513085080288524
net_profit_margin,0.18436896773600514
asset_turnover,0.6878858055184515
equity_multiplier,2.329564913185174
flev_econ,0.447961041956944
nbc_econ,0.025462374743477
spread_econ,0.144643517199618
