Fiscal year,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026
CPI deflator,1.56207553941744,1.53686667645009,1.48983946758899,1.45963309145709,1.43856162296046,1.4155979656664,1.41391967664767,1.39630510776769,1.36717934073107,1.33458246882803,1.31083052683869,1.29485609189718,1.23675314610473,1.14511284618407,1.0998385307612,1.06832882249617,1.04093892397101,1.01330060950762
BEA deflator,1.19852164730729,1.22074564351828,1.20749621506608,1.19075960859477,1.18957159701297,1.17840848965249,1.17634162140615,1.18776413765345,1.1804,1.17538112260647,1.16403368636964,1.1575953711876,1.14438616731461,1.07973619457937,1.04651884425452,1.03250411112277,1.01724420238023,0.990235019329255
REPORTED (nominal $mm),,,,,,,,,,,,,,,,,,
Total assets,134833,128172,138354,132244,139263,144266,129495,127136,120406,118310,115095,120700,119307,117208,120829,122370,125231,126521
Total liabilities,71451,66733,70353,68209,70554,74290,66445,69153,64628,65427,67516,73822,72653,70354,73764,71812,72947,72210
Cash,4781,2879,2768,4436,5947,8558,6836,7102,5569,2569,4239,16181,10288,7214,8246,9482,9556,9942
Short-term investments,0,0,0,0,0,2128,4767,6246,9568,9281,6048,0,0,0,0,0,0,0
Total debt,36972,29832,32014,29823,31574,35500,30397,30643,31643,31393,30101,35611,32838,32293,35424,33369,35463,35026
Pension (NC),3798,4701,4388,5684,6027,5984,5247,6761,5487,4768,5622,6223,5452,3139,3116,2884,3026,2204
Minority interest,283,324,361,596,645,762,631,642,594,590,385,357,276,265,288,272,272,0
Reported net PP&E,19462,19244,21293,20377,21666,22304,19655,19385,19893,20600,21271,20692,21686,21195,21909,22152,23897,25360
Reported CSE (common),63099,61115,67640,63439,68064,69214,62419,57341,55184,52293,47194,46521,46378,46589,46777,50286,52012,54311
Shares (mm),3154.1,3099.3,3001.9,2941.2,2930.6,2904.7,2883.6,2844.4,2740.4,2656.7,2539.5,2625.8,2601,2539.1,2483.9,2471.9,2454.4,2422.5
Operating income,16662,15732,15495,13035,13817,13910,11049,13441,13766,13363,5487,15706,17986,17813,18134,18545,20451,19748
D&A (reconciled),0,0,0,0,0,0,0,0,2820,2834,2824,3013,2735,2807,2714,2896,2847,3160
Net income (common),11101,12736,11797,10756,11312,11643,7036,10508,15326,9750,3897,12764,14306,14742,14653,14595,15682,16046
Interest expense,1358,946,831,769,667,709,626,579,465,506,509,465,502,439,756,925,907,877
Tax rate,0.259002,0.270178,0.219977,0.269636,0.22752,0.211044,0.247457,0.249981,0.231048,0.260018,0.346515,0.172477,0.18524,0.177938,0.196971,0.201855,0.203402,0.207734
OCI,-3358,-7822,-2054,-9333,-7499,-7662,-12780,-15907,-14632,-14749,-14936,-16165,-13744,-12189,-12220,-11900,-12143,-12465
Dividends paid,-5044,-5458,-5767,-6139,-6519,-6911,-7287,-7436,-7236,-7310,-7498,-7789,-8263,-8770,-8999,-9312,-9872,-10232
Repurchases,-6370,-6004,-7039,-4024,-5986,-6005,-4604,-5734,-5204,-7004,-5003,-7405,-11009,-10003,-7353,-5006,-6500,-5028
PARTITION (nominal),,,,,,,,,,,,,,,,,,
Financial obligations,40770,34533,36402,35507,37601,41484,35644,37404,37130,36161,35723,41834,38290,35432,38540,36253,38489,37230
Financial assets,4781,2879,2768,4436,5947,10686,11603,13348,15137,11850,10287,16181,10288,7214,8246,9482,9556,9942
NFO (nominal),36272,31978,33995,31667,32299,31560,24672,24698,22587,24901,25821,26010,28278,28483,30582,27043,29205,27288
Operating assets,130052,125293,135586,127808,133316,133580,117892,113788,105269,106460,104808,104519,109019,109994,112583,112888,115675,116579
Operating liabilities,30681,32200,33951,32702,32953,32806,30801,31749,27498,29266,31793,31988,34363,34922,35224,35559,34458,34980
"NOA (nominal, reported PP&E)",99371,93093,101635,95106,100363,100774,87091,82039,77771,77194,73015,72531,74656,75072,77359,77329,81217,81599
CSE (reported),63099,61115,67640,63439,68064,69214,62419,57341,55184,52293,47194,46521,46378,46589,46777,50286,52012,54311
tie: NOA−NFO−CSE (nom),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ECONOMIC RESTATEMENT (real 2026$),,,,,,,,,,,,,,,,,,
