year,real_revenue,real_gross_profit,real_sga,real_gross_ppe_series,real_net_ppe_series
2009,119801.821420081,59365.1188000205,37502.309550334,55467.2386289342,29651.5528105324
2010,119210.137492204,62281.5220631397,38418.5931778993,56715.6866017233,30455.9169870068
2011,120831.940179338,61448.4288407079,38695.6004916889,58289.9366128475,31435.6402711634
2012,119698.67129803,59253.8053477007,38564.9659093879,60597.5726482162,33056.4715297021
2013,115251.8029851,57722.2851212885,23931.9111595702,63059.3882154238,34592.539045645
2014,105321.904243546,50071.1156435861,19243.638745269,64932.4014096412,35776.5926474696
2015,100033.403203146,47639.1956652898,18997.4247754381,66608.2720693537,36720.3888289535
2016,91177.3272321224,45226.3224405955,16326.9956251276,67873.0314042097,37110.9097335761
2017,88945.953549282,44323.9542265013,15771.7808746736,68605.2595023413,37518.2416999532
2018,89192.8155567149,43240.4719900282,15491.8332981558,69332.483341122,38277.811296189
2019,88722.2533785502,43147.2976214225,15610.680744122,69359.0968099199,38535.3268592518
2020,91870.0397201046,46226.3624807292,15922.8453620596,69716.236455352,38420.5288799956
2021,94139.1759752002,48245.7402295457,15860.1223456471,70732.9665897122,37868.8404655204
2022,91823.1637969623,43548.6415403803,13380.6436076609,72207.9691835327,37467.7970195977
2023,90193.3585536032,43164.2629782542,14421.0828153409,72798.7684887314,36814.8686545665
2024,89781.2859137553,46142.1901724319,13771.8268507981,73483.5430511916,36361.2046792645
2025,87734.4962679729,44885.2864016301,12972.1808705268,74044.5596457467,36303.3755368253
2026,88189.5786466672,44250.8376171978,24240.1771806413,70483.565597335,32390.165673415
