t,phase,df_cumulative,df_equity,annuity_equity,dri_equity,normal_eps,aeg_eps,contrib_eps,cum_contrib_eps,normal_nfe,aeg_nfe,contrib_nfe,normal_oi,aeg_oi,contrib_oi,retention_rate,retained_eps,coe,rore,pi,infl_index,eps_real,dps_real
1,explicit,0.944115524836807,0.930701197538512,14.5085462106327,-0.0919580354225094,12.3109548795404,-0.0919580354225094,-1.33417740636647,-1.33417741,0,2.46329231347788,52.2781691819618,12.2107707055997,2.47151845199602,44.5338652859487,0.545832,6.669519,0.074459,0.076786,0.020811,1.020811,11.969891,5.436342
2,explicit,0.888423948512799,0.85963858029698,13.5778450130942,-0.327028287837754,12.885416800378,-0.319414006901205,-4.44033940715857,-5.77451681,2.51437360948596,0.506410978957655,10.5424700835897,15.266534215459,0.320253166461393,5.57226275080183,0.545832,6.858926,0.082666,0.052029,0.020737,1.04198,12.05974,5.477148
3,explicit,0.831953045048503,0.788160406464804,12.7182064327972,-0.432884317482553,13.3156415089318,-0.443996265735475,-5.50551211126362,-11.28002892,3.08832576572188,0.742893141823156,13.4844119152486,16.2474989161802,0.455365234561164,6.79948475911472,0.545832,7.025756,0.09069,0.044561,0.022359,1.065277,12.082909,5.487671
4,explicit,0.776098340950271,0.718310403905144,11.9300460263324,-0.544650733507188,13.6894816476703,-0.523811906228723,-6.49770831901645,-17.77773724,3.91945608067566,0.756034362837958,12.8295933960661,17.431372318013,0.409787866942114,5.01366026834275,0.545832,7.186244,0.097242,0.04185,0.023031,1.089811,12.080685,5.486661
5,explicit,0.721327930022605,0.650864628980578,11.2117356224272,-0.665735358183706,14.0517894350954,-0.596770243485235,-7.46404883045762,-25.24178607,4.78609124463897,0.81472938466025,13.1833150383625,18.6388582668826,0.416981554026837,4.06799810043408,0.545832,7.34418,0.103625,0.040264,0.023655,1.115591,12.060884,5.477668
6,explicit,0.670673492643103,0.592579874252865,10.5608709934467,-0.0354849895353284,14.3271050686549,-0.620158821239276,-0.374752396686408,-25.61653847,5.73805369599487,0.950370758201407,14.1758998645198,19.8974917357162,0.49787896589563,13.4529472381044,0.545832,7.48169,0.098358,0.034303,0.024502,1.142926,11.992855,5.446771
7,explicit,0.62252182892273,0.539020913419222,9.9682911191938,-0.554471273496245,14.6029876065983,-0.701059421365764,-5.52713107144069,-31.14366954,6.85241579761788,0.964109729671868,13.018686439269,21.2907010261714,0.427752686350846,5.47556080552926,0.545832,7.588117,0.099363,0.026061,0.024519,1.170949,11.872359,5.392046
8,explicit,0.57721575807914,0.490562291144016,9.42927020577457,-0.562430604035612,14.8042006996017,-0.778179807333133,-5.30331013744879,-36.44697968,8.00557460365156,1.02212687996354,12.4586560075193,22.6558041421762,0.397918233707475,4.97729501254073,0.545832,7.655851,0.098782,0.016354,0.024186,1.199269,11.695471,5.311709
9,continuing,0.534748809744063,0.446628194850604,0,-7.633161530467,14.9298214034711,-7.80035060855742,0,-36.44697968,9.24128068065884,0.641393441708535,0,24.0259959183221,-7.01385100104109,0,,,,,0.023658,1.227642,5.807451,2.637558
10,continuing,0.495202632172125,0.406917010979426,0,2.36477504245158e-14,7.583813709548,-0.0101556931737488,0,-36.44697968,10.1102721091443,0.604414552199682,0,17.6250826441595,0.663262033558745,0,,,,,0.02303,1.255915,6.030393,2.738811
