year,real_revenue,real_gross_profit,real_sga,real_gross_ppe_series,real_net_ppe_series
2008,2776.33473759771,801.961668179264,622.221192904883,173.073291829367,111.4649100006
2009,2405.27454314174,702.502859888971,564.352899182892,181.664294997265,110.477977815462
2010,2480.11245165462,724.266863677221,568.666797020032,191.525478305606,110.285796707795
2011,2671.75593433775,791.983762575632,605.654009882679,215.016109673502,123.177342391927
2012,2852.08511024678,828.206033524395,606.611835744837,234.390959264947,130.653126699836
2013,2991.77660727087,850.588400739192,612.526592001957,256.184880827393,140.002587697905
2014,3180.22859694343,910.710795231819,588.599971732225,275.488149097615,146.30213742378
2015,3341.28873075349,955.306346008937,597.577598218693,308.715573918784,165.333563867616
2016,3589.6253599645,1034.78356340023,621.843083439233,348.137356302999,189.122250527309
2017,3811.95303167428,1100.97448411798,650.327564184889,354.221752158713,218.432008111769
2018,4001.20769604591,1161.31763064749,677.532820279801,353.223821709052,237.909512502793
2019,4194.02455473936,1212.41992503628,697.491612500342,386.559344759251,257.479489641857
2020,5097.36027305254,1464.3553440387,777.829118395277,403.539502580513,261.628336826789
2021,6549.3301724619,1999.9436185408,879.82247787947,438.31419260917,282.819849122239
2022,7076.48477361057,2213.97491816644,936.727500661188,474.520843313653,306.220893427244
2023,6094.85970287363,1825.78035395895,910.660804277622,529.58313751345,343.255290544157
2024,5673.84416482248,1682.98860553287,927.17587682386,580.468440318334,375.898821624823
2025,5505.93818069658,1636.83273850961,1032.87581106593,619.616805284133,402.015415056165
