t,phase,df_cumulative,df_equity,annuity_equity,dri_equity,normal_eps,aeg_eps,contrib_eps,cum_contrib_eps,normal_nfe,aeg_nfe,contrib_nfe,normal_oi,aeg_oi,contrib_oi,retention_rate,retained_eps,coe,rore,pi,infl_index,eps_real,dps_real
1,explicit,0.943713914331423,0.930701197538512,16.3853969073349,0.356571607475564,2.14285587991716,0.356571607475564,5.84256731437355,5.84256731,0,1.29946423431346,29.5296023343727,2.12960146345838,1.6692902582478,32.2378675750908,0.635294,1.587871,0.074459,0.499954,0.020811,1.020811,2.448472,0.892973
2,explicit,0.887111201086501,0.85963858029698,15.4546957097964,-0.14311850917428,2.64959290663403,0.0249618979398658,-2.21185300972821,3.6307143,1.32641122588311,0.104799345108914,2.21613852000353,3.94605682649611,0.159708549069816,-0.208808584753137,0.635294,1.699129,0.082666,0.110291,0.020737,1.04198,2.566802,0.936128
3,explicit,0.829550908475305,0.788160406464804,14.5950571294994,-0.166648990784688,2.85045795567436,-0.0306067134049797,-2.43225154107594,1.19846276,1.46321074977594,0.206749784122976,3.60318488297358,4.27747286908584,0.212338907082453,0.73967730668347,0.635294,1.791435,0.09069,0.085512,0.022359,1.065277,2.647059,0.965398
4,explicit,0.772520568421418,0.718310403905144,13.8068967230346,-0.205516440615383,3.01773964221054,-0.0649095277592711,-2.83754427046227,-1.63908151,1.70842155643688,0.197295419408354,3.16440185837318,4.6842087220529,0.174338368243596,-0.0872591713101216,0.635294,1.875915,0.097242,0.07423,0.023031,1.089811,2.709487,0.988166
5,continuing,0.716562596702489,0.650864628980578,0,-0.75133423379259,3.172696523347,-0.595720890561603,0,-1.63908151,1.95079755654433,0.188889967500216,0,5.07559697699252,-0.358933820162576,0,,,,,0.023655,1.115591,2.309964,0.842458
6,continuing,0.66522848750987,0.592579874252865,0,-9.82547376793264e-15,2.76102878867683,-0.203867704650519,0,-1.63908151,2.19211481999453,0.223135467833471,0,4.9184526731871,0.0539586986672118,0,,,,,0.024502,1.142926,2.237381,0.815986
7,continuing,0.616560053787193,0.539020913419222,0,5.87030424270552e-15,2.74144825178769,0.0350550667811413,0,-1.63908151,2.47446903838918,0.223769773588391,0,5.18273102126195,0.292011109284447,0,,,,,0.024519,1.170949,2.371156,0.864775
8,continuing,0.570943463114985,0.490562291144016,0,1.4432899320127e-15,2.97523485702234,-0.00853050129147848,0,-1.63908151,2.76349792914248,0.239451196494549,0,5.70542173406708,0.264231747300817,0,,,,,0.024186,1.199269,2.47376,0.902195
9,continuing,0.528316744811542,0.446628194850604,0,-3.91353616180368e-15,3.1776997409283,0.00621745869099266,0,-1.63908151,3.07399350655512,0.2375146662317,0,6.21836299296091,0.277062379445206,0,,,,,0.023658,1.227642,2.593523,0.945873
10,continuing,0.488723275952472,0.406917010979426,0,1.05054853705155e-14,3.40805783599511,-0.00453538377533214,0,-1.63908151,3.38777220658874,0.229036383833309,0,6.76230078982929,0.25803025281254,0,,,,,0.02303,1.255915,2.709995,0.988351
11,continuing,0.452305186382326,0.371633419014802,0,-1.11022302462516e-14,3.636954405825,-0.105846948636151,0,-1.63908151,3.69881633315493,0.249315551344452,0,7.30457982917803,0.174659512510202,0,,,,,0.022674,1.284391,2.749246,1.002666
