field,value
ticker,T
fiscal_year,2025
rev_cagr_5y,-0.06060831928802057
rev_cagr_10y,-0.015438936707435014
eps_cagr_5y,
eps_cagr_10y,0.025789932985947894
oi_cagr_5y,-0.005639324366131571
oi_cagr_10y,-0.006579503095954897
roe_reported,0.19803135715125797
rnoa_econ,0.0597075849361659
roce_econ,0.0838763642687399
roic_reported,0.07608662773173525
net_profit_margin,0.1742089010569209
asset_turnover,0.2990209377483948
equity_multiplier,3.801561524612559
flev_econ,1.11830082416302
nbc_econ,0.0332431327074118
spread_econ,0.0264644522287541
