Fiscal year,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
CPI deflator  [MULTIPLIER: nominal x this = base-year 2026$. Do NOT divide.],1.55651802343674,1.56207553941744,1.53686667645009,1.48983946758899,1.45963309145709,1.43856162296046,1.4155979656664,1.41391967664767,1.39630510776769,1.36717934073107,1.33458246882803,1.31083052683869,1.29485609189718,1.23675314610473,1.14511284618407,1.0998385307612,1.06832882249617,1.04093892397101
BEA deflator  [MULTIPLIER: nominal x this = base-year 2026$. Do NOT divide.],1.19073558487673,1.19852164730729,1.22074564351828,1.20749621506608,1.19075960859477,1.18957159701297,1.17840848965249,1.17634162140615,1.18776413765345,1.1804,1.17538112260647,1.16403368636964,1.1575953711876,1.14438616731461,1.07973619457937,1.04651884425452,1.03250411112277,1.01724420238023
REPORTED (nominal $mm),,,,,,,,,,,,,,,,,,
Total assets,265245,268312,269391,270442,272315,277787,296834,402672,403821,444097,531864,551669,525761,551622,402853,407060,394795,420198
Total liabilities,168495,166323,157441,164645,179620,186305,206564,279032,279711,302090,337980,349735,346521,367767,296396,287645,274570,291706
Cash,1792,3741,1437,3045,4868,3339,8603,5121,3985,46342,2074,9476,6898,19223,3701,5354,1149,14713
Short-term investments,2332,2921,0,149,86,106,1992,95,245,1,8,54,29,1106,38,80,0,0
Total debt,74991,72081,66167,64753,69844,74788,81834,126151,123513,164346,176505,184951,179636,195832,154679,154899,140923,173986
Pension (NC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Minority interest,403,425,303,263,333,494,554,969,975,1146,9795,17713,17567,17523,8957,16118,15853,17959
Reported net PP&E,99088,99519,103196,107087,109767,110968,112898,124450,124899,125222,131473,154167,152029,143473,149259,149394,149780,154201
Reported CSE (common),96347,101564,111647,105534,92362,90988,89716,122671,123135,140861,184089,184221,161673,166332,97500,103297,104372,110533
Shares (mm),5958,5924,5938,5950,5821,5385,5221,5646,6189,6183,6806,7348,7183,7503,7587,7258,7204,7179
Operating income,24041,21000,19573,12128,12997,30479,13866,26706,25874,23507,27289,30377,25717,25897,-4587,24768,24261,25000
D&A (reconciled),0,0,0,0,0,0,0,0,0,24387,28430,28217,28516,33868,18021,18777,20580,20886
Net income (common),12867,12535,19864,3944,7264,18249,6224,13345,12976,29450,19370,13900,-5369,19874,-8727,14192,10746,21889
Interest expense,3390,3345,2975,3512,3401,3894,3569,4100,4889,6279,7912,8404,7910,6696,6139,6692,6745,6804
Tax rate,0.348939,0.328923,-0.063713,0.37701,0.277804,0.332073,0.345582,0.338537,0.327024,-0.97153,0.197805,0.189138,0,0.184944,0,0.212868,0.2662,0.134076
OCI,-17057,2678,2712,3180,5236,7880,8061,5334,4961,7017,4249,5470,4330,3529,2766,2300,795,-860
Dividends paid,-9507,-9670,-9916,-10172,-10241,-9696,-9552,-10200,-11797,-12038,-13410,-14888,-14956,-15068,-9859,-8136,-8208,-8180
Repurchases,-6077,-8161,-3827,-7936,-12752,-13028,-1617,-269,-512,-463,-609,-2417,-5498,-202,-3555,-194,-215,-6575
PARTITION (nominal),,,,,,,,,,,,,,,,,,
Financial obligations,74991,72081,66167,64753,69844,74788,81834,126151,123513,164346,176505,184951,179636,195832,154679,154899,140923,173986
Financial assets,4124,6662,1437,3194,4954,3445,10595,5216,4230,46343,2082,9530,6927,20329,3739,5434,1149,14713
NFO (nominal),71270,65844,65033,61822,65223,71837,71793,121904,120258,119149,184218,193134,190276,193026,159897,165583,155627,177232
Operating assets,261121,261650,267954,267248,267361,274342,286239,397456,399591,397754,529782,542139,518834,531293,399114,401626,393646,405485
Operating liabilities,93504,94242,91274,99892,109776,111517,124730,152881,156198,137744,161475,164784,166885,171935,141717,132746,133647,117720
"NOA (nominal, reported PP&E)",167617,167408,176680,167356,157585,162825,161509,244575,243393,260010,368307,377355,351949,359358,257397,268880,259999,287765
CSE (reported),96347,101564,111647,105534,92362,90988,89716,122671,123135,140861,184089,184221,161673,166332,97500,103297,104372,110533
tie: NOA−NFO−CSE (nom),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ECONOMIC RESTATEMENT (real 2026$),,,,,,,,,,,,,,,,,,
Real net PP&E (BEA),109996.173396273,121052.821616638,135100.383150452,148428.674286471,159477.749499097,171155.612271194,181698.47395628,188694.227009225,197740.906308404,204614.867774881,210812.55615578,214760.889924687,213823.641141391,213239.195446269,214305.068232991,212069.559845384,211427.747673101,210427.152041577
Non-PP&E op net (nom),68529,67889,73484,60269,47818,51857,48611,120125,118494,134788,236834,223188,199920,215885,108138,119486,110219,133564
Real non-PP&E op net,106666.623628096,106047.746295511,112935.110852258,89791.1348721209,69796.7351672953,74599.4900818606,68813.6327090092,169847.101157301,165453.777439825,184279.36897846,316074.504422418,292561.643624074,258867.629892083,266996.452946821,123830.212960653,131415.306686533,117750.134486705,139031.966441264
Real NOA,216662.797024369,227100.567912149,248035.49400271,238219.809158592,229274.484666393,245755.102353054,250512.10666529,358541.328166526,363194.683748229,388894.236753341,526887.060578198,507322.533548761,472691.271033474,480235.64839309,338135.281193645,343484.866531917,329177.882159806,349459.118482842
Real NFO,110933.039530336,102853.301817402,99947.0505695784,92104.8555652866,95201.649124106,103341.951308611,101630.024749088,172362.464262057,167916.859649927,162898.051268766,245854.113242562,253165.942970464,246380.037741827,238725.512780013,183100.108766295,182114.563439032,166260.809658611,184487.687373231
Real CSE,105729.757494033,124247.266094747,148088.443433132,146114.953593306,134072.835542287,142413.151044444,148882.081916202,186178.863904469,195277.824098302,225996.185484575,281032.947335636,254156.590578297,226311.233291647,241510.135613077,155035.17242735,161370.303092885,162917.072501195,164971.431109611
tie: Real NOA−NFO−CSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ECONOMIC FLOWS (real 2026$),,,,,,,,,,,,,,,,,,
