year,real_revenue,real_gross_profit,real_sga,real_gross_ppe_series,real_net_ppe_series
2008,192141.254367101,83530.5397277325,48543.1275969216,161020.53598086,109078.066537322
2009,191374.560560649,81894.9343050383,49060.1064664836,178606.857022136,120021.947942116
2010,191001.790549217,80897.5881149796,50816.4966568221,199735.123705857,133940.507192132
2011,188796.92685128,75940.0973419461,57871.3242790268,221213.852911902,147126.860315674
2012,186006.883376743,78931.1190536338,59960.267763966,241448.190989513,158015.337601866
2013,185217.686079405,84721.2096610104,40875.2899547985,263465.806944388,169515.936741399
2014,187491.703758617,75823.6738349892,56194.9924430589,284669.818145809,179860.029038854
2015,207564.822451554,81638.3082099596,46594.3090242472,300041.515537824,186651.972422048
2016,228695.228380839,85251.4083547563,50751.5017520322,318041.634307955,195538.932522365
2017,219495.17443701,113217.488385281,47737.8010403068,329144.702135948,202241.67163859
2018,227887.964047199,123427.525047091,49065.9244664625,336716.854885271,208354.416196324
2019,237513.315649483,120453.527941734,43646.724052148,344936.595855684,212270.918952848
2020,222404.482344259,119478.961311536,49255.0308796767,354272.156206886,211253.082182009
2021,165771.918197586,120841.913152748,46927.3613757981,366379.438944362,210484.565913279
2022,138262.070161111,48547.0591139738,33163.613138337,380985.876342192,211321.055193407
2023,134651.031644033,79649.2065591955,31756.737737199,392650.918748728,208838.674100872
2024,130695.074828891,78257.2229054892,30352.2901759386,403349.444603727,207946.364974068
2025,130791.89391911,77019.0709846153,30126.8543375691,403128.053174418,206739.466162092
