field,value
equity_value,41.2877624788524
enterprise_value,41.2877624788524
active_value,41.2877624788524
mode_tie,0
max_identity_tie,1.54250301420689e-09
tie_relative,4.413972715617163e-15
tie_scale,349459.118482842
audit_status,PASS — all identities tie
tie_check,PASS
adjusted_equity_ps,32.84539379722495
depreciation_anchor_penalty_ps,0.008185839356712021
debt_capital_gain_ps,1.6536761933583648
idiosyncratic_haircut_ps,10.087859035629101
headline_value_ps,33.672663436259214
headline_value_pre_convergence_ps,32.84539379722495
convergence_value_ps,1.0209669283580265
convergence_value_idio_adjusted_ps,0.8272696390342662
convergence_K,3
convergence_guard,PASS
convergence_in_four_method_tie,False
