field,value,data_as_of
ticker,WMT,2026-08-06T03:38Z
company,Walmart Inc.,2026-08-06T03:38Z
source,eodhd:Highlights+AnalystRatings,2026-08-06T03:38Z
eodhd_updated_at,2026-08-05,2026-08-06T03:38Z
rating,4.4884,2026-08-06T03:38Z
target_price,137.975,2026-08-06T03:38Z
wall_street_target_price,137.975,2026-08-06T03:38Z
strong_buy,27,2026-08-06T03:38Z
buy,12,2026-08-06T03:38Z
hold,3,2026-08-06T03:38Z
sell,0,2026-08-06T03:38Z
strong_sell,1,2026-08-06T03:38Z
analyst_count,43,2026-08-06T03:38Z
eps_est_current_year,2.6388,2026-08-06T03:38Z
eps_est_next_year,2.9657,2026-08-06T03:38Z
eps_est_current_quarter,0.6587,2026-08-06T03:38Z
eps_est_next_quarter,0,2026-08-06T03:38Z
most_recent_quarter,2026-04-30,2026-08-06T03:38Z
eps_ttm,2.87,2026-08-06T03:38Z
pe_ratio,38.8676,2026-08-06T03:38Z
consensus_revenue_current_year,,2026-08-06T03:38Z
consensus_revenue_next_year,,2026-08-06T03:38Z
