Fiscal year,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026
CPI deflator,1.56207553941744,1.53686667645009,1.48983946758899,1.45963309145709,1.43856162296046,1.4155979656664,1.41391967664767,1.39630510776769,1.36717934073107,1.33458246882803,1.31083052683869,1.29485609189718,1.23675314610473,1.14511284618407,1.0998385307612,1.06832882249617,1.04093892397101,1.01330060950762
BEA deflator,1.19852164730729,1.22074564351828,1.20749621506608,1.19075960859477,1.18957159701297,1.17840848965249,1.17634162140615,1.18776413765345,1.1804,1.17538112260647,1.16403368636964,1.1575953711876,1.14438616731461,1.07973619457937,1.04651884425452,1.03250411112277,1.01724420238023,0.990235019329255
REPORTED (nominal $mm),,,,,,,,,,,,,,,,,,
Total assets,163429,170706,180663,193406,203105,204751,203706,199581,198825,204522,219295,236495,252496,244860,243457,252399,260823,284668
Total liabilities,98144,97470,109008,117241,120848,121921,117769,115970,118290,123700,139661,154943,164965,152969,159466,161828,163131,178488
Cash,7275,7907,7395,6550,7781,7281,9135,8705,6602,6456,7722,9465,17741,14760,8885,9867,9037,10727
Short-term investments,0,0,0,0,29,5,0,0,0,0,0,0,0,0,0,0,0,0
Total debt,42218,41320,49864,53427,54136,56641,50381,50034,45938,46487,58033,72433,63246,57323,58923,60443,60114,67095
Pension (NC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Minority interest,0,2487,3113,4850,5395,5084,4543,3065,2737,2953,7138,6883,6606,8638,7061,0,6679,6563
Reported net PP&E,95653,102307,107878,112324,116681,117907,116655,116516,114178,114818,111395,127049,109848,112624,119234,130338,139704,156956
Reported CSE (common),65285,70749,68542,71315,76862,77746,81394,80546,77798,77869,72496,74669,80925,83253,76930,90571,91013,99617
Shares (mm),11853,11631,11010,10422,10167,9849,9729,9651,9336,9030,8835,8604,8541,8415,8202,8109,8081,8022
Operating income,22767,24002,25542,26491,27725,26872,27147,24105,22764,20437,21957,20568,22548,25942,20428,27012,29348,29825
D&A (reconciled),0,0,0,0,0,0,0,0,0,10529,10678,10987,11152,10658,10945,11853,12973,14203
Net income (common),13254,14335,16389,15699,16999,16022,16363,14694,13643,9862,6670,14881,13510,13673,11680,15511,19436,21893
Interest expense,2184,2065,2205,2322,2251,2335,2461,2548,2367,2330,2346,2599,2315,1994,2128,2683,2728,2799
Tax rate,0.341832,0.323537,0.32199,0.325662,0.310108,0.328723,0.321989,0.303078,0.302678,0.304172,0.37356,0.244333,0.333495,0.254386,0.336389,0.255309,0.233836,0.244291
OCI,-2688,-70,646,-1410,-587,-2996,-7168,-11597,-14232,-10181,-11542,-12805,-11393,-8766,-11680,-11302,-13605,-12770
Dividends paid,-3746,-4217,-4437,-5048,-5361,-6139,-6185,-6294,-6216,-6124,-6102,-6048,-6116,-6152,-6114,-6140,-6688,-7507
Repurchases,-3521,-7276,-14776,-6298,-7600,-6683,-1015,-4112,-8298,-8296,-7410,-5717,-2625,-9787,-9920,-2779,-4494,-8088
PARTITION (nominal),,,,,,,,,,,,,,,,,,
Financial obligations,42218,41320,49864,53427,54136,56641,50381,50034,45938,46487,58033,72433,63246,57323,58923,60443,60114,67095
Financial assets,7275,7907,7395,6550,7810,7286,9135,8705,6602,6456,7722,9465,17741,14760,8885,9867,9037,10727
NFO (nominal),34943,35900,45582,51727,51721,54439,45789,44394,42073,42984,57449,69851,52111,51201,57099,50576,57756,62931
Operating assets,156154,162799,173268,186856,195295,197465,194571,190876,192223,198066,211573,227030,234755,230100,234572,242532,251786,273941
Operating liabilities,55926,56150,59144,63814,66712,65280,67388,65936,72352,77213,81628,82510,101719,95646,100543,101385,103017,111393
"NOA (nominal, reported PP&E)",100228,106649,114124,123042,128583,132185,127183,124940,119871,120853,129945,144520,133036,134454,134029,141147,148769,162548
CSE (reported),65285,70749,68542,71315,76862,77746,81394,80546,77798,77869,72496,74669,80925,83253,76930,90571,91013,99617
tie: NOA−NFO−CSE (nom),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ECONOMIC RESTATEMENT (real 2026$),,,,,,,,,,,,,,,,,,
