year,real_revenue,real_gross_profit,real_sga,real_gross_ppe_series,real_net_ppe_series
2009,631475.285111659,156696.483585582,119734.652171886,176667.214832212,122486.456418891
2010,627172.237659133,159801.860150604,122345.345512162,190314.213259974,128402.972886545
2011,628487.289562948,159268.308603666,120706.79366406,203600.042321083,134099.833158037
2012,651739.312033416,162772.443826929,124455.615543089,216510.372478858,139893.120671794
2013,674183.343162043,167382.399077941,124540.595384556,227078.894686567,144312.3071342
2014,674240.817459111,167359.06949091,125921.685839923,236929.458695097,148319.698987175
2015,686671.504883616,170469.225815026,128692.141129117,246619.276550019,150676.683619863
2016,673200.581608036,169156.778585625,132008.081193465,255801.614589253,151849.537046407
2017,664275.527819027,170373.787903884,135286.497303362,265019.818704614,151440.081360118
2018,667748.996200823,169421.240670312,137341.881867093,273473.168294104,149842.023570134
2019,674297.777158458,169233.464336983,135863.65161525,280705.592030706,148064.978099927
2020,678457.977334812,167501.289191727,140868.689093586,285170.365784428,146322.439956602
2021,691531.758397609,171705.859792597,143819.549854227,286564.127472966,143746.384209731
2022,655867.963103313,164614.552090345,134908.034634638,289867.307813271,143512.609115284
2023,672319.195630485,162300.972307369,139833.470800979,295308.818451757,146623.115819267
2024,692410.618080328,168777.792364412,139920.094211145,303273.622123544,153109.804775019
2025,708863.793140401,176160.175981463,145610.700440761,311238.44369722,162156.553366333
2026,722648.502578283,180132.422750951,144438.908781045,293344.323821301,146632.553095147
