ticker,risk_group,group_score,group_change,semidev,spread_30y_pp,credit_n_fit,put_iv_365d,has_put_iv,block_volatility,block_credit,block_industry,block_within_industry,within_group_n,within_group_shrink,within_group_ranked_on,n_blocks,weight_per_block,combined_score,cap_weight,suggested_idio_erp_pct,floor_applied,reliability
A,Healthcare - Innovation,5.00,,17.22345,1.8226,2,,False,37.58,94.75,45.0,47.07,27,0.9,2,4,0.25,56.099,0.0005667848611068226,4.4624,,credit spread fit on only 2 bonds -- treat with caution
AAPL,Hardware & Components,6.00,split,13.323488,0.7041,34,28.62,True,17.65,5.42,56.0,7.75,19,0.864,2,4,0.25,21.706,0.06148279304878136,1.7266,,full
ABBV,Healthcare - Established,3.50,,18.042683,0.8992,13,29.19,True,32.18,29.48,28.5,33.17,21,0.875,2,4,0.25,30.835,0.006165000490479052,2.4528,,full
ABNB,Travel & Leisure,7.00,,19.515958,,,38.02,True,60.98,,67.0,34.94,11,0.786,1,3,0.3333,54.306,0.0014708462256600493,4.3198,,no credit data -- combined score can shift materially if a credit spread becomes available (see diagnostic 2)
ABT,Healthcare - Established,3.50,,18.176893,0.7722,6,29.99,True,35.88,11.51,28.5,20.18,21,0.875,2,4,0.25,24.017,0.002640542618220283,1.9104,,full
ACGL,Insurance Underwriters,5.00,,16.343628,0.8578,2,,False,30.62,21.19,45.0,48.0,18,0.857,2,4,0.25,36.203,0.00046383726164059383,2.8798,,credit spread fit on only 2 bonds -- treat with caution
ACN,IT Services & Advertising,7.00,,22.601089,,,50.94,True,79.48,,67.0,45.36,8,0.727,1,3,0.3333,63.945,0.0014312425938613378,5.0865,,no credit data -- combined score can shift materially if a credit spread becomes available (see diagnostic 2)
ADBE,Software & Digital Platforms,5.50,,23.881563,0.9741,1,47.73,True,80.41,40.27,50.5,26.36,35,0.921,2,4,0.25,49.384,0.0014222039463320654,3.9283,,credit spread fit on only 1 bond -- treat with caution
ADI,Semiconductors & Semicap,6.50,split,17.195008,0.9813,5,47.73,True,65.97,41.37,61.5,23.05,18,0.857,2,4,0.25,47.974,0.002483508718949611,3.8161,,full
ADM,Energy & Commodities,7.50,moved,18.57058,0.8387,6,34.23,True,51.23,18.97,72.5,15.25,29,0.906,2,4,0.25,39.49,0.0005342366143143092,3.1412,,full
ADP,Payments & Financial Processing,5.50,moved,15.412333,1.023,2,31.55,True,32.44,49.67,50.5,22.66,9,0.75,2,4,0.25,38.817,0.001446240749026248,3.0877,,credit spread fit on only 2 bonds -- treat with caution
ADSK,Software & Digital Platforms,5.50,,20.438413,1.3518,2,48.34,True,75.18,78.98,50.5,53.18,35,0.921,2,4,0.25,64.462,0.00070341621419052,5.1276,,credit spread fit on only 2 bonds -- treat with caution
AEE,Regulated & Monopoly Assets,1.50,,11.648163,0.8379,15,,False,2.99,18.56,6.5,9.1,28,0.903,2,4,0.25,9.288,0.0004107881542435519,1.0879,credit floor applied (0.739 -> 1.088),full
AEP,Regulated & Monopoly Assets,1.50,,12.687687,1.0479,46,24.02,True,6.41,53.27,6.5,65.4,28,0.903,2,4,0.25,32.895,0.000935368139770864,2.6166,,full
AES,Merchant Power,6.50,moved,29.527054,,,13.3,True,34.9,,61.5,22.21,4,0.571,1,3,0.3333,39.537,0.00014169433302806735,3.145,,no credit data -- combined score can shift materially if a credit spread becomes available (see diagnostic 2)
AFL,Insurance Underwriters,5.00,,12.609764,0.9079,4,24.46,True,7.12,30.87,45.0,18.05,18,0.857,2,4,0.25,25.26,0.0008232902754925765,2.0093,,full
AIG,Insurance Underwriters,5.00,,16.895625,1.0077,7,30.01,True,30.37,46.63,45.0,67.97,18,0.857,2,4,0.25,47.493,0.0005503874638693902,3.7778,,full
AIZ,Insurance Underwriters,5.00,,16.482589,1.6359,3,,False,32.01,91.7,45.0,92.93,18,0.857,2,4,0.25,65.411,0.0001876370671317697,5.2031,,full
AJG,Fee-Based Financials,3.50,,20.621034,1.0754,5,,False,60.44,57.97,28.5,63.49,21,0.875,2,4,0.25,52.6,0.000863777433484533,4.1841,,full
AKAM,Software & Digital Platforms,5.50,,33.253372,,,54.14,True,91.85,,50.5,77.32,35,0.921,1,3,0.3333,73.223,0.00023803221742032808,5.8245,,no credit data -- combined score can shift materially if a credit spread becomes available (see diagnostic 2)
ALB,Energy & Commodities,7.50,moved,40.058549,1.5615,3,55.93,True,94.58,88.39,72.5,88.95,29,0.906,2,4,0.25,86.103,0.0002430345260376617,6.8491,,full
ALGN,Healthcare - Innovation,5.00,,43.32135,,,46.9,True,89.65,,45.0,88.2,27,0.9,1,3,0.3333,74.281,0.00016170163294914057,5.9087,,no credit data -- combined score can shift materially if a credit spread becomes available (see diagnostic 2)
ALL,Insurance Underwriters,5.00,,17.314281,1.0342,5,,False,38.37,51.33,45.0,72.96,18,0.857,2,4,0.25,51.916,0.0009097171855954962,4.1297,,full
ALLE,Quality Industrials,4.00,,17.098661,0.9572,3,,False,35.99,36.4,34.0,49.42,44,0.936,2,4,0.25,38.952,0.00018480159134246155,3.0984,,full
AMAT,Semiconductors & Semicap,6.50,split,27.353019,0.7408,6,,False,82.7,8.47,61.5,8.07,18,0.857,2,4,0.25,40.186,0.00553198252650233,3.1966,,full
AMCR,Materials & Packaging,4.50,,20.058157,1.1689,2,34.73,True,55.04,68.2,39.5,74.25,19,0.864,2,4,0.25,59.247,0.0002859655719990353,4.7128,,credit spread fit on only 2 bonds -- treat with caution
AMD,Semiconductors & Semicap,6.50,split,32.550588,0.9497,2,65.91,True,95.0,35.57,61.5,48.0,18,0.857,2,4,0.25,60.018,0.010778097868830876,4.7741,,credit spread fit on only 2 bonds -- treat with caution
AME,Quality Industrials,4.00,,11.869999,,,,False,3.78,,34.0,4.16,44,0.936,1,3,0.3333,13.981,0.0007725145236660898,1.1121,,no credit data -- combined score can shift materially if a credit spread becomes available (see diagnostic 2)
AMGN,Healthcare - Established,3.50,,17.606153,0.9875,32,29.75,True,32.27,42.2,28.5,46.17,21,0.875,2,4,0.25,37.286,0.003110447066343047,2.9659,,full
AMP,Asset Management,6.00,split,15.676246,2.3644,2,,False,25.65,97.51,56.0,59.78,9,0.75,2,4,0.25,59.736,0.000702091487598883,4.7517,,credit spread fit on only 2 bonds -- treat with caution
AMT,Contracted Infrastructure,5.00,,17.953901,1.0021,13,31.11,True,40.18,45.52,45.0,38.71,15,0.833,2,4,0.25,42.355,0.0010810209264536927,3.3691,,full
AMZN,Software & Digital Platforms,5.50,,16.485549,1.0541,22,37.1,True,48.79,54.65,50.5,18.32,35,0.921,2,4,0.25,43.063,0.03803195434706493,3.4255,,full
ANET,Hardware & Components,6.00,split,34.51983,,,,False,93.64,,56.0,69.5,19,0.864,1,3,0.3333,73.046,0.0033112139175248533,5.8105,,no credit data -- combined score can shift materially if a credit spread becomes available (see diagnostic 2)
AON,Fee-Based Financials,3.50,,17.489115,1.1109,14,,False,39.57,60.46,28.5,46.17,21,0.875,2,4,0.25,43.673,0.0009902069102140545,3.474,,full
AOS,Quality Industrials,4.00,,17.163155,,,,False,36.98,,34.0,53.73,44,0.936,1,3,0.3333,41.572,0.0001133352922126559,3.3069,,no credit data -- combined score can shift materially if a credit spread becomes available (see diagnostic 2)
APA,Energy & Commodities,7.50,,33.482897,1.6106,7,46.6,True,86.92,90.32,72.5,85.75,29,0.906,2,4,0.25,83.872,0.0002016319864345022,6.6716,,full
APD,Materials & Packaging,4.50,,16.227905,0.8112,4,,False,29.43,15.38,39.5,17.25,19,0.864,2,4,0.25,25.389,0.0009083146280226654,2.0196,,full
APH,Hardware & Components,6.00,split,25.648856,1.0418,2,,False,78.73,52.16,56.0,22.0,19,0.864,2,4,0.25,52.222,0.0027662273241196747,4.154,,credit spread fit on only 2 bonds -- treat with caution
APO,Asset Management,6.00,split,21.783103,,,38.06,True,65.48,,56.0,69.06,9,0.75,1,3,0.3333,63.513,0.0010931209384313558,5.0522,,no credit data -- combined score can shift materially if a credit spread becomes available (see diagnostic 2)
APP,IT Services & Advertising,7.00,,51.06976,,,73.75,True,98.93,,67.0,76.21,8,0.727,1,3,0.3333,80.714,0.0013957609410557988,6.4204,,no credit data -- combined score can shift materially if a credit spread becomes available (see diagnostic 2)
APTV,Heavy Cyclicals,7.00,moved,25.639646,1.2675,3,,False,78.53,75.39,67.0,38.02,18,0.857,2,4,0.25,64.735,0.0001385880849895437,5.1494,,full
ARE,Real Estate,4.50,,31.743355,1.2014,9,45.99,True,86.47,71.24,39.5,93.81,21,0.875,2,4,0.25,72.755,0.00011609896750340397,5.7873,,full
ARES,Asset Management,6.00,split,25.016537,1.164,1,43.09,True,75.99,67.65,56.0,87.62,9,0.75,2,4,0.25,71.815,0.0004269052916365057,5.7125,,credit spread fit on only 1 bond -- treat with caution
ATO,Regulated & Monopoly Assets,1.50,,11.350353,0.8759,7,,False,1.99,26.72,6.5,22.35,28,0.903,2,4,0.25,14.39,0.0003882804769791605,1.1447,,full
AVGO,Semiconductors & Semicap,6.50,split,25.419496,1.446,10,52.43,True,84.72,83.96,61.5,72.96,18,0.857,2,4,0.25,75.786,0.024911291835265387,6.0284,,full
AVY,Materials & Packaging,4.50,,13.64513,1.2603,3,,False,12.33,74.84,39.5,45.75,19,0.864,2,4,0.25,43.104,0.0001832551493058657,3.4287,,full
AWK,Regulated & Monopoly Assets,1.50,,15.381269,0.9996,8,,False,23.27,44.69,6.5,72.03,28,0.903,2,4,0.25,36.621,0.00035909163071799386,2.913,,full
AXON,Aerospace & Defense,3.50,split,35.863991,,,64.83,True,95.34,,28.5,90.72,13,0.812,1,3,0.3333,71.52,0.0006876766131070316,5.6891,,no credit data -- combined score can shift materially if a credit spread becomes available (see diagnostic 2)
AXP,Fee-Based Financials,3.50,moved,16.321043,0.8014,7,29.72,True,26.43,14.55,28.5,20.18,21,0.875,2,4,0.25,22.416,0.00308576594662698,1.7831,,full
AZO,Defensive Retail,3.50,,18.010148,0.9999,5,,False,44.14,44.97,28.5,53.64,14,0.824,2,4,0.25,42.811,0.0006962917202475361,3.4054,,full
BA,Aerospace & Defense,3.50,split,20.477095,1.1033,30,36.09,True,58.37,59.63,28.5,63.91,13,0.812,2,4,0.25,52.602,0.002372311607519091,4.1842,,full
BAC,Banks & Capital Markets,7.00,,14.059611,0.8896,10,26.45,True,13.56,28.65,67.0,21.04,25,0.893,2,4,0.25,32.563,0.00629889755474442,2.5902,,full
BALL,Materials & Packaging,4.50,,17.855886,1.5021,1,,False,42.35,86.45,39.5,79.0,19,0.864,2,4,0.25,61.825,0.0002216025445932631,4.9179,,credit spread fit on only 1 bond -- treat with caution
BAX,Healthcare - Innovation,5.00,,34.215036,1.2197,6,45.47,True,85.86,72.62,45.0,64.21,27,0.9,2,4,0.25,66.922,0.00018065445980695684,5.3233,,full
BBY,Consumer Services & Retail,5.00,,23.728428,1.0721,1,40.38,True,71.11,57.14,45.0,55.76,17,0.85,2,4,0.25,57.251,0.00024792106507024787,4.554,,credit spread fit on only 1 bond -- treat with caution
BDX,Healthcare - Innovation,5.00,,17.173645,0.853,3,30.56,True,34.42,20.63,45.0,5.95,27,0.9,2,4,0.25,26.501,0.0006687402420768284,2.108,,full
BEN,Asset Management,6.00,split,16.457649,,,35.63,True,45.7,,56.0,31.94,9,0.75,1,3,0.3333,44.547,0.00023580326933855727,3.5435,,no credit data -- combined score can shift materially if a credit spread becomes available (see diagnostic 2)
BF-B,Consumer Staples,3.00,,29.639106,,,38.36,True,76.18,,23.0,94.29,23,0.885,1,3,0.3333,64.49,0.00016765815813492158,5.1299,,no credit data -- combined score can shift materially if a credit spread becomes available (see diagnostic 2)
BG,Energy & Commodities,7.50,moved,19.494813,1.0383,1,33.35,True,48.97,51.61,72.5,40.89,29,0.906,2,4,0.25,53.492,0.0003013555359867159,4.255,,credit spread fit on only 1 bond -- treat with caution
BIIB,Healthcare - Established,3.50,,21.07849,1.1236,3,37.47,True,62.74,63.08,28.5,85.15,21,0.875,2,4,0.25,59.868,0.00042493356198695405,4.7622,,full
BKNG,Travel & Leisure,7.00,,20.607466,1.0857,1,37.94,True,63.28,59.07,67.0,42.72,11,0.786,2,4,0.25,58.019,0.0021558805340952426,4.6151,,credit spread fit on only 1 bond -- treat with caution
BKR,Energy & Commodities,7.50,,20.546949,0.8716,2,37.12,True,60.08,25.89,72.5,31.27,29,0.906,2,4,0.25,47.435,0.0008629066703084084,3.7732,,credit spread fit on only 2 bonds -- treat with caution
BLDR,Heavy Cyclicals,7.00,moved,27.296228,2.8907,2,57.21,True,90.32,99.17,67.0,87.94,18,0.857,2,4,0.25,86.107,9.883109749392252e-05,6.8494,,credit spread fit on only 2 bonds -- treat with caution
BLK,Asset Management,6.00,split,13.984444,0.55,3,29.75,True,21.9,2.38,56.0,13.38,9,0.75,2,4,0.25,23.414,0.0025576650595345416,1.8625,,full
BMY,Healthcare - Established,3.50,,18.095861,0.9336,18,31.39,True,41.34,33.91,28.5,50.5,21,0.875,2,4,0.25,38.562,0.0018186609014469815,3.0674,,full
BNY,Banks & Capital Markets,7.00,,12.390089,,,30.12,True,21.52,,67.0,24.72,25,0.893,1,3,0.3333,37.746,0.0015387385914743532,3.0025,,no credit data -- combined score can shift materially if a credit spread becomes available (see diagnostic 2)
BR,Payments & Financial Processing,5.50,moved,17.234803,2.2674,2,,False,37.78,96.96,50.5,50.5,9,0.75,2,4,0.25,58.934,0.00026399634234250115,4.6879,,credit spread fit on only 2 bonds -- treat with caution
BRK-B,Insurance Underwriters,5.00,,10.897321,0.9098,21,18.46,True,1.2,31.42,45.0,13.06,18,0.857,2,4,0.25,22.67,0.014570080754314643,1.8033,,full
BRO,Fee-Based Financials,3.50,,21.217369,1.3554,1,,False,62.03,79.54,28.5,72.16,21,0.875,2,4,0.25,60.556,0.0003161697738944724,4.8169,,credit spread fit on only 1 bond -- treat with caution
BSX,Healthcare - Established,3.50,,24.267262,0.8057,6,44.38,True,76.73,15.1,28.5,76.49,21,0.875,2,4,0.25,49.205,0.0010075798365868193,3.914,,full
BX,Asset Management,6.00,split,19.249941,0.9615,6,38.01,True,60.64,37.78,56.0,50.5,9,0.75,2,4,0.25,51.231,0.001481211776856957,4.0752,,full
BXP,Real Estate,4.50,,19.633817,1.5603,6,,False,53.28,88.11,39.5,89.48,21,0.875,2,4,0.25,67.593,0.00014205388970864536,5.3767,,full
C,Banks & Capital Markets,7.00,,16.225801,1.1199,13,32.11,True,35.31,61.7,67.0,57.87,25,0.893,2,4,0.25,55.468,0.003211994649272107,4.4122,,full
CAH,Healthcare - Established,3.50,,17.669281,,,31.98,True,40.96,,28.5,67.82,21,0.875,1,3,0.3333,45.761,0.0007487351146549192,3.6401,,no credit data -- combined score can shift materially if a credit spread becomes available (see diagnostic 2)
CARR,Quality Industrials,4.00,,21.918772,0.8517,5,37.85,True,64.22,20.36,34.0,64.51,44,0.936,2,4,0.25,45.771,0.000693315960440326,3.6409,,full
CASY,Defensive Retail,3.50,moved,16.322516,,,,False,30.22,,28.5,41.09,14,0.824,1,3,0.3333,33.272,0.0004285591560363681,2.6466,,no credit data -- combined score can shift materially if a credit spread becomes available (see diagnostic 2)
CAT,Quality Industrials,4.00,,16.644228,0.6921,12,45.84,True,61.74,5.15,34.0,45.11,44,0.936,2,4,0.25,36.5,0.005228649755544244,2.9034,,full
CB,Insurance Underwriters,5.00,,12.839792,0.7719,9,24.26,True,7.41,11.23,45.0,8.07,18,0.857,2,4,0.25,17.927,0.0018244228678678182,1.426,,full
CBOE,Fee-Based Financials,3.50,,16.079639,1.1731,1,37.59,True,49.51,68.75,28.5,59.16,21,0.875,2,4,0.25,51.481,0.00041039542306517017,4.0951,,credit spread fit on only 1 bond -- treat with caution
CBRE,Fee-Based Financials,3.50,moved,20.38818,,,,False,57.46,,28.5,50.5,21,0.875,1,3,0.3333,45.486,0.000588152201696253,3.6182,,no credit data -- combined score can shift materially if a credit spread becomes available (see diagnostic 2)
CCI,Contracted Infrastructure,5.00,,19.142358,1.1874,11,34.67,True,52.67,70.13,45.0,74.07,15,0.833,2,4,0.25,60.468,0.0004319628867498588,4.8099,,full
CCL,Travel & Leisure,7.00,,26.245913,1.7912,1,46.91,True,82.61,94.19,67.0,89.39,11,0.786,2,4,0.25,83.298,0.0005088895819192769,6.626,,credit spread fit on only 1 bond -- treat with caution
CDNS,Software & Digital Platforms,5.50,,22.589428,,,47.15,True,77.07,,50.5,50.5,35,0.921,1,3,0.3333,59.356,0.0011700399158435717,4.7215,,no credit data -- combined score can shift materially if a credit spread becomes available (see diagnostic 2)
CDW,IT Services & Advertising,7.00,,28.31574,1.6229,2,,False,84.49,91.15,67.0,55.64,8,0.727,2,4,0.25,74.572,0.00023118285982758464,5.9318,,credit spread fit on only 2 bonds -- treat with caution
CEG,Merchant Power,6.50,moved,33.397153,1.8612,3,50.56,True,90.11,95.3,61.5,59.93,4,0.571,2,4,0.25,76.71,0.0012699507362284486,6.1019,,full
CF,Energy & Commodities,7.50,,27.636304,1.1204,3,44.46,True,80.97,62.11,72.5,69.73,29,0.906,2,4,0.25,71.327,0.0002477161285274362,5.6737,,full
CFG,Banks & Capital Markets,7.00,,16.215586,1.1718,1,30.3,True,29.31,68.47,67.0,61.55,25,0.893,2,4,0.25,56.583,0.00042140918623451444,4.5009,,credit spread fit on only 1 bond -- treat with caution
CHD,Consumer Staples,3.00,,14.849569,0.7922,5,,False,21.28,13.72,23.0,22.63,23,0.885,2,4,0.25,20.158,0.00031746497607175434,1.6035,,full
CHRW,Transport & Logistics,5.00,,22.732792,1.2465,1,40.14,True,68.71,73.73,45.0,70.3,6,0.667,2,4,0.25,64.435,0.00023291989526902935,5.1255,,credit spread fit on only 1 bond -- treat with caution
CHTR,Telecom & Cable,7.00,split,39.320203,2.4114,30,61.32,True,95.99,97.79,67.0,83.5,6,0.667,2,4,0.25,86.07,0.0002418464652173692,6.8465,,full
CI,Healthcare - Services,7.50,,25.527048,1.0288,14,32.36,True,56.66,50.22,72.5,27.16,11,0.786,2,4,0.25,51.637,0.000988360921751306,4.1075,,full
CIEN,Hardware & Components,6.00,split,37.89587,,,,False,95.83,,56.0,79.0,19,0.864,1,3,0.3333,76.942,0.0007977531655632685,6.1204,,no credit data -- combined score can shift materially if a credit spread becomes available (see diagnostic 2)
CINF,Insurance Underwriters,5.00,,14.096062,1.7413,2,,False,16.11,93.64,45.0,87.94,18,0.857,2,4,0.25,60.671,0.00035915135433284084,4.8261,,credit spread fit on only 2 bonds -- treat with caution
CL,Consumer Staples,3.00,,14.367443,0.4579,5,26.72,True,14.74,1.55,23.0,14.67,23,0.885,2,4,0.25,13.491,0.0009908660796028265,1.0731,,full
CLX,Consumer Staples,3.00,,19.054043,0.9244,4,34.0,True,51.36,32.53,23.0,50.5,23,0.885,2,4,0.25,39.347,0.00017331520398326927,3.1299,,full
CMCSA,Telecom & Cable,7.00,split,21.285107,1.5985,43,37.23,True,62.15,89.77,67.0,57.1,6,0.667,2,4,0.25,69.005,0.0012575303152496183,5.489,,full
CME,Fee-Based Financials,3.50,,14.019749,0.7904,4,30.85,True,27.55,13.17,28.5,15.85,21,0.875,2,4,0.25,21.266,0.001322424182348698,1.6916,,full
CMG,Consumer Services & Retail,5.00,,27.689381,,,41.55,True,77.5,,45.0,82.06,17,0.85,1,3,0.3333,68.185,0.000578788932989143,5.4238,,no credit data -- combined score can shift materially if a credit spread becomes available (see diagnostic 2)
CMI,Quality Industrials,4.00,,17.466906,0.7525,3,,False,39.37,9.3,34.0,32.18,44,0.936,2,4,0.25,28.711,0.0011568335893728699,2.2838,,full
CMS,Regulated & Monopoly Assets,1.50,,11.918716,0.9663,11,,False,4.38,38.89,6.5,35.6,28,0.903,2,4,0.25,21.34,0.00028715400491299435,1.6975,,full
CNC,Healthcare - Services,7.50,,54.825236,2.631,4,47.1,True,90.56,98.34,72.5,89.39,11,0.786,2,4,0.25,87.699,0.00043635746864038324,6.976,,full
CNP,Regulated & Monopoly Assets,1.50,,12.70099,0.8743,16,,False,7.16,26.44,6.5,32.28,28,0.903,2,4,0.25,18.097,0.00036300025446175943,1.4395,,full
COF,Banks & Capital Markets,7.00,moved,20.182475,0.8698,3,33.35,True,50.78,25.34,67.0,43.13,25,0.893,2,4,0.25,46.563,0.0018493767388562087,3.7039,,full
COHR,Hardware & Components,6.00,split,40.758044,,,,False,97.81,,56.0,83.75,19,0.864,1,3,0.3333,79.188,0.0008330314316964139,6.299,,no credit data -- combined score can shift materially if a credit spread becomes available (see diagnostic 2)
COIN,Banks & Capital Markets,7.00,moved,39.225636,2.3178,1,75.54,True,98.0,97.23,67.0,94.7,25,0.893,2,4,0.25,89.233,0.0005178702843973299,7.0981,,credit spread fit on only 1 bond -- treat with caution
COO,Healthcare - Innovation,5.00,,23.744023,,,,False,72.96,,45.0,57.35,27,0.9,1,3,0.3333,58.439,0.00019862025416688756,4.6485,,no credit data -- combined score can shift materially if a credit spread becomes available (see diagnostic 2)
COP,Energy & Commodities,7.50,,21.22231,0.9624,11,32.21,True,49.8,38.06,72.5,37.68,29,0.906,2,4,0.25,49.509,0.002117706630639352,3.9382,,full
COR,Healthcare - Established,3.50,,23.694447,0.9691,4,28.41,True,39.97,39.72,28.5,59.16,21,0.875,2,4,0.25,41.836,0.0008243108489889649,3.3279,,full
