ticker,semidev,price,shares,market_cap,px_asof,n_closes
A,17.22345,148.44,284000000.0,42156960000.0,2026-08-18,753
AAPL,13.323488,310.03,14750302000.0,4573036129060.0,2026-08-18,753
ABT,18.176893,112.68,1743000000.0,196401240000.0,2026-08-18,753
ACM,22.536387,61.72,128564000.0,7934970080.0,2026-08-18,753
ACN,22.601089,172.93,615593400.0,106454566662.0,2026-08-18,753
ADBE,23.881563,263.14,402000000.0,105782280000.0,2026-08-18,753
ADP,15.412333,269.31,399428600.0,107570116266.0,2026-08-18,753
AEE,11.648163,109.67,278600000.0,30554062000.0,2026-08-18,753
AEP,12.687687,126.35,550628100.0,69571860435.0,2026-08-18,753
AIG,16.895625,76.12,537800000.0,40937336000.0,2026-08-18,753
AJG,20.621034,248.36,258685000.0,64247006600.0,2026-08-18,753
AME,11.869999,249.99,229845000.0,57458951550.0,2026-08-18,753
AMGN,17.606153,425.28,544000000.0,231352320000.0,2026-08-18,753
AMP,15.676246,562.12,92900000.0,52220948000.0,2026-08-18,753
AMZN,16.485549,259.45,10903000000.0,2828783350000.0,2026-08-18,753
ANET,34.51983,193.18,1274900000.0,246285182000.0,2026-08-18,753
AON,17.489115,343.2,214600000.0,73650720000.0,2026-08-18,753
AXP,16.321043,338.52,678000000.0,229516560000.0,2026-08-18,753
AZO,18.010148,3073.2,16852000.0,51789566400.0,2026-08-18,753
BAC,14.059611,64.23,7294200000.0,468506466000.0,2026-08-18,753
BIIB,21.07849,212.55,148700000.0,31606185000.0,2026-08-18,753
BK,12.414114,137.16,698164000.0,95760174240.0,2026-05-20,692
BLK,13.984444,1154.35,164800000.0,190236880000.0,2026-08-18,753
BR,17.234803,169.86,115600000.0,19635816000.0,2026-08-18,753
BRO,21.217369,69.37,339000000.0,23516430000.0,2026-08-18,753
BSX,24.267262,50.47,1484900000.0,74942903000.0,2026-08-18,753
CAH,17.669281,234.98,237000000.0,55690260000.0,2026-08-18,753
CARR,21.918772,61.42,839600000.0,51568232000.0,2026-08-18,753
CB,12.839792,345.29,393000000.0,135698970000.0,2026-08-18,753
CBOE,16.079639,290.99,104900000.0,30524851000.0,2026-08-18,753
CCL,26.245913,27.27,1388000000.0,37850760000.0,2026-08-18,753
CDNS,22.589428,316.52,274948000.0,87026540960.0,2026-08-18,753
CDW,28.31574,134.97,127400000.0,17195178000.0,2026-08-18,753
CFG,16.215586,73.46,426681800.0,31344045028.0,2026-08-18,753
CHD,14.849569,99.13,238200000.0,23612766000.0,2026-08-18,753
CHTR,39.320203,148.35,121256000.0,17988327600.0,2026-08-18,753
CI,25.527048,278.5,263962000.0,73513417000.0,2026-08-18,753
CL,14.367443,91.46,805814000.0,73699748440.0,2026-08-18,753
CME,14.019749,271.54,362233000.0,98360748820.0,2026-08-18,753
CMG,27.689381,33.36,1290462000.0,43049812320.0,2026-08-18,753
CMI,17.466906,620.81,138600000.0,86044266000.0,2026-08-18,753
CMS,11.918716,71.06,300566600.0,21358262596.0,2026-08-18,753
COR,23.694447,316.13,193944000.0,61311516720.0,2026-08-18,753
COST,13.448713,961.35,443478800.0,426338344380.0,2026-08-18,753
CRM,26.043615,196.14,871000000.0,170837940000.0,2026-08-18,753
CSCO,16.802185,111.61,3987000000.0,444989070000.0,2026-08-18,753
CSX,14.453998,50.24,1859000000.0,93396160000.0,2026-08-18,753
CTAS,14.42182,199.45,404307000.0,80639031150.0,2026-08-18,753
CTSH,20.587611,57.78,466000000.0,26925480000.0,2026-08-18,753
DAL,22.05964,85.7,657000000.0,56304900000.0,2026-08-18,753
DE,18.183069,588.72,270800000.0,159425376000.0,2026-08-18,753
DG,29.493951,120.84,221559000.0,26773189560.0,2026-08-18,753
DGX,14.576426,236.25,112000000.0,26460000000.0,2026-08-18,753
DHI,22.518776,145.68,288400000.0,42014112000.0,2026-08-18,753
DHR,18.001257,199.58,707600000.0,141222808000.0,2026-08-18,753
DIS,15.930183,103.95,1743000000.0,181184850000.0,2026-08-18,753
DLTR,29.099999,130.48,197400000.0,25756752000.0,2026-08-18,753
DOV,12.788717,203.06,135553000.0,27525392180.0,2026-08-18,753
DPZ,19.655274,336.25,33318000.0,11203177500.0,2026-08-18,753
DRI,17.492797,218.86,115200000.0,25212672000.0,2026-08-18,753
DTE,12.231371,140.21,208000000.0,29163680000.0,2026-08-18,753
DUK,11.14876,123.99,779000000.0,96588210000.0,2026-08-18,753
DXCM,37.987445,89.6,391800000.0,35105280000.0,2026-08-18,753
EA,14.750548,209.7,254000000.0,53263800000.0,2026-08-05,744
EBAY,24.870345,102.27,457000000.0,46737390000.0,2026-08-18,753
ED,12.426361,108.27,370000000.0,40059900000.0,2026-08-18,753
EFX,25.100251,181.84,119200000.0,21675328000.0,2026-08-18,753
EME,25.620057,824.53,45051000.0,37145901030.0,2026-08-18,753
EMR,16.341013,157.78,561100000.0,88530358000.0,2026-08-18,753
ETN,19.35897,431.33,389500000.0,168003035000.0,2026-08-18,753
EW,22.388024,90.98,577600000.0,52550048000.0,2026-08-18,753
EXPD,20.476458,185.95,132724000.0,24680027800.0,2026-08-18,753
EXPE,28.049074,321.42,123763000.0,39779903460.0,2026-08-18,753
FAST,16.722341,51.27,1150300000.0,58975881000.0,2026-08-18,753
FDS,27.166755,285.41,36957000.0,10547897370.0,2026-08-18,753
FDX,20.096446,328.38,241000000.0,79139580000.0,2026-08-18,753
FE,12.364745,47.26,579000000.0,27363540000.0,2026-08-18,753
FITB,15.875091,57.29,915959000.0,52475291110.0,2026-08-18,753
FTNT,29.757778,158.01,741300000.0,117132813000.0,2026-08-18,753
FTV,15.06956,59.45,307600000.0,18286820000.0,2026-08-18,753
GD,13.106322,393.48,273800000.0,107734824000.0,2026-08-18,753
GE,20.235884,375.09,1048672600.0,393346605534.0,2026-08-18,753
GOOGL,15.940486,344.2,12309000000.0,4236757800000.0,2026-08-18,753
GPC,23.466098,131.89,138017000.0,18203062130.0,2026-08-18,753
GPN,22.615237,90.37,259420000.0,23443785400.0,2026-08-18,753
GRMN,19.750251,297.44,193471000.0,57546014240.0,2026-08-18,753
GS,14.505409,1040.47,304900000.0,317239303000.0,2026-08-18,753
GWW,15.807432,1314.12,47300000.0,62157876000.0,2026-08-18,753
HBAN,17.140058,17.66,1975000000.0,34878500000.0,2026-08-18,753
HCA,20.363429,411.73,222828000.0,91744972440.0,2026-08-18,753
HD,14.70384,337.49,996000000.0,336140040000.0,2026-08-18,753
HEI,19.136487,368.01,141068000.0,51914434680.0,2026-08-18,753
HLT,13.526582,327.74,229000000.0,75052460000.0,2026-08-18,753
HOLX,17.716809,76.01,225879000.0,17169062790.0,2026-04-07,661
HON,13.778596,227.71,319000000.0,72639490000.0,2026-08-18,753
HRL,20.9335,24.34,550810000.0,13406715400.0,2026-08-18,753
HSY,18.295627,183.45,204274600.0,37474175370.0,2026-08-18,753
IBM,22.980444,232.67,952700000.0,221664709000.0,2026-08-18,753
ICE,15.288132,156.18,566000000.0,88397880000.0,2026-08-18,753
IDXX,18.947479,553.32,80675000.0,44639091000.0,2026-08-18,753
IEX,16.798745,234.16,74200000.0,17374672000.0,2026-08-18,753
INTU,32.127972,350.41,276000000.0,96713160000.0,2026-08-18,753
IQV,23.937806,240.03,168600000.0,40469058000.0,2026-08-18,753
ISRG,17.355814,391.18,358500000.0,140238030000.0,2026-08-18,753
IT,39.911382,182.07,66581000.0,12122402670.0,2026-08-18,753
ITW,12.58702,284.66,287000000.0,81697420000.0,2026-08-18,753
J,20.454555,142.86,119006000.0,17001197160.0,2026-08-18,753
JBHT,19.657125,274.19,94944000.0,26032695360.0,2026-08-18,753
JCI,15.826505,149.68,613000000.0,91753840000.0,2026-08-18,753
JNJ,11.830372,271.11,2440100000.0,661535511000.0,2026-08-18,753
JPM,13.943,363.25,2793700000.0,1014811525000.0,2026-08-18,753
KDP,19.647464,30.79,1364500000.0,42012955000.0,2026-08-18,753
KEYS,16.455086,341.0,173000000.0,58993000000.0,2026-08-18,753
KO,10.734303,88.82,4313000000.0,383080660000.0,2026-08-18,753
