ticker,tenor_days,n_dates,svix2_mean,implied_vol_pct,premium_bps,premium_sd_bps,premium_bps_median_benchmark,premium_bps_trapezoid_only,market_cap,sector
AAPL,365,5,0.085344,28.62,-406.4,17.3,-168.7,-411.3,4411090796544.0,Technology
ABBV,365,5,0.088958,29.19,-388.3,25.1,-150.6,-401.3,441938345984.0,Healthcare
ABNB,365,3,0.155539,38.02,-51.6,5.0,183.6,-185.5,110775345152.0,Consumer Cyclical
ABT,365,5,0.094138,29.99,-362.4,22.4,-124.7,-383.2,191916818432.0,Healthcare
ACN,365,5,0.296292,50.94,648.3,32.8,886.0,372.2,110235246592.0,Technology
ADBE,365,5,0.255857,47.73,446.2,19.0,683.9,351.8,102853124096.0,Technology
ADI,365,5,0.255913,47.73,446.4,32.3,684.2,198.7,187250868224.0,Technology
ADM,365,5,0.124336,34.23,-211.4,34.0,26.3,-258.0,39376097280.0,Consumer Defensive
ADP,365,5,0.104672,31.55,-309.8,24.9,-72.1,-333.1,106994769920.0,Technology
ADSK,365,5,0.263264,48.34,483.2,24.9,720.9,333.5,53001682944.0,Technology
AEP,365,5,0.059401,24.02,-536.1,29.3,-298.4,-526.9,68376309760.0,Utilities
AES,365,4,0.017843,13.30,-743.9,33.0,-506.4,-754.4,10537489408.0,Utilities
AFL,365,5,0.061679,24.46,-524.7,20.7,-287.0,-526.5,58241048576.0,Financial Services
AIG,365,5,0.094234,30.01,-362.0,26.9,-124.2,-363.9,40074534912.0,Financial Services
AKAM,365,5,0.340622,54.14,870.0,105.4,1107.7,649.4,15821760512.0,Technology
ALB,365,5,0.367245,55.93,1003.1,52.9,1240.8,750.5,15835099136.0,Basic Materials
ALGN,365,5,0.246023,46.90,397.0,23.5,634.7,205.8,11291074560.0,Healthcare
AMCR,365,2,0.128162,34.73,-219.9,19.4,31.4,-216.6,22104748032.0,Consumer Cyclical
AMD,365,5,0.544072,65.91,1887.2,242.0,2124.9,1320.5,774315573248.0,Technology
AMGN,365,5,0.092514,29.75,-370.6,24.5,-132.8,-404.5,225153368064.0,Healthcare
AMT,365,5,0.101647,31.11,-324.9,18.6,-87.2,-359.0,79413567488.0,Real Estate
AMZN,365,5,0.147597,37.10,-95.1,22.3,142.6,-214.0,2882965864448.0,Consumer Cyclical
APA,365,5,0.242579,46.60,379.8,24.6,617.5,163.1,15552103424.0,Energy
